INDIVIDUAL	METRIC	MEAN	SD	SAMPLE_SIZE	EXPERIMENT
999	PC_CLONES_SMALL	0.9612258239902858	0.014624994114373208	100	gut
999	P20	0.4795	0.041355328047238814	100	gut
dash	N_CLONES	45.7	4.910782979697251	100	gut
dash	N_CLONES_SINGLE	27	5.3410032568304695	100	gut
dash	N_CLONES_SMALL	41.2	6.06630035524124	100	gut
dash	N_CLONES_LARGE	4.5	1.538967528127731	100	gut
dash	PC_CLONES_SMALL	0.898097919415376	0.04180112711890821	100	gut
dash	P20	0.741	0.05087652752135881	100	gut
1009	N_CLONES	21.75	3.522484171269206	200	gut
1009	N_CLONES_SINGLE	13.65	3.6602415796027223	200	gut
1009	N_CLONES_SMALL	17.45	3.9930861300634706	200	gut
1009	N_CLONES_LARGE	4.3	0.8013147091860318	200	gut
1009	PC_CLONES_SMALL	0.7939148807543444	0.06454866018647598	200	gut
1009	P20	0.9875	0.013028309257354263	200	gut
1015	N_CLONES	44.55	5.548589199541011	200	gut
1015	N_CLONES_SINGLE	28.25	5.369259480451755	200	gut
1015	N_CLONES_SMALL	36.85	6.217758946420283	200	gut
1015	N_CLONES_LARGE	7.7	1.0310954828418375	200	gut
1015	PC_CLONES_SMALL	0.8227527359127298	0.04140167835832335	200	gut
1015	P20	0.87725	0.027742945997705066	200	gut
1026	N_CLONES	24.9	4.191470034800628	200	gut
1026	N_CLONES_SINGLE	14.65	4.556949579892695	200	gut
1026	N_CLONES_SMALL	20.75	4.351345829317154	200	gut
1026	N_CLONES_LARGE	4.15	0.9333020044867296	200	gut
1026	PC_CLONES_SMALL	0.8284121928126648	0.04835234562128874	200	gut
1026	P20	0.97475	0.01970005343300262	200	gut
1271	N_CLONES	37.8	5.03252578627012	200	gut
1271	N_CLONES_SINGLE	27	4.400956833761446	200	gut
1271	N_CLONES_SMALL	34.9	5.280550210566679	200	gut
1271	N_CLONES_LARGE	2.9	0.5525062514530825	200	gut
1271	PC_CLONES_SMALL	0.9210993104065484	0.021751460930167957	200	gut
1271	P20	0.911	0.02516262893135059	200	gut
1298	N_CLONES	39.9	3.6835337724298904	200	gut
1298	N_CLONES_SINGLE	29.3	4.168806468093842	200	gut
1298	N_CLONES_SMALL	36.35	3.5433406776507868	200	gut
1298	N_CLONES_LARGE	3.55	0.6863327411532597	200	gut
1298	PC_CLONES_SMALL	0.9107472461291191	0.016835650961007132	200	gut
1298	P20	0.9005000000000001	0.01841766886214945	200	gut
1301	N_CLONES	71.4	3.4397062298063217	200	gut
1301	N_CLONES_SINGLE	37.1	4.1536287242539345	200	gut
1301	N_CLONES_SMALL	64.7	4.449719092257398	200	gut
1301	N_CLONES_LARGE	6.7	1.7501879598308412	200	gut
1301	PC_CLONES_SMALL	0.9055088976145942	0.026471721179815035	200	gut
1301	P20	0.67	0.02438722702779598	200	gut
1305	N_CLONES	25	3.094987458524033	200	gut
1305	N_CLONES_SINGLE	15.5	3.8457084762382245	200	gut
1305	N_CLONES_SMALL	20.65	3.1501879643167827	200	gut
1305	N_CLONES_LARGE	4.35	0.5871429486123998	200	gut
1305	PC_CLONES_SMALL	0.823290861335086	0.03305672924743205	200	gut
1305	P20	0.97475	0.014997806857214668	200	gut
1403	N_CLONES	145.25	5.523871639958412	200	gut
1403	N_CLONES_SINGLE	107.6	9.511212220045184	200	gut
1403	N_CLONES_SMALL	143.85	5.593934685278144	200	gut
1403	N_CLONES_LARGE	1.4	0.9403246919632545	200	gut
1403	PC_CLONES_SMALL	0.9903483796501171	0.006445455668253969	200	gut
1403	P20	0.2855	0.017539429265154786	200	gut
1409	N_CLONES	132.7	7.108926930645944	200	gut
1409	N_CLONES_SINGLE	105.65	8.886861976506312	200	gut
1409	N_CLONES_SMALL	131.55	7.199963450199627	200	gut
1409	N_CLONES_LARGE	1.15	0.36634754853252327	200	gut
1409	PC_CLONES_SMALL	0.9912773072181166	0.0029800309844226817	200	gut
1409	P20	0.40125	0.0323173002389872	200	gut
1412	N_CLONES	175.75	4.529145382380305	200	gut
1412	N_CLONES_SINGLE	164.65	5.659412281184421	200	gut
1412	N_CLONES_SMALL	173.7	4.985241376197081	200	gut
1412	N_CLONES_LARGE	2.05	0.7591546545162482	200	gut
1412	PC_CLONES_SMALL	0.988270046262977	0.0044963227297639356	200	gut
1412	P20	0.22125	0.022645726911901528	200	gut
1414	N_CLONES	113.75	5.359448125556056	200	gut
1414	N_CLONES_SINGLE	81.4	7.843200206145716	200	gut
1414	N_CLONES_SMALL	108.65	5.860438280718027	200	gut
1414	N_CLONES_LARGE	5.1	1.1192102478745307	200	gut
