INDIVIDUAL	S_Filtered	P20_Observed	S_All
2-03	0.5416307630934124	17.886029411764707	0.6588290292196205
2-04	0.5408438488328877	16.142909223477943	0.6189328435280296
2-05	0.5249935265251569	9.906858594411517	0.5659421948951603
2-06	0.5410639534916358	21.571919114841663	0.6944247921356113
