REPLICATE	P20
2-03bio	69.06232453677708
2-03lib	66.79982879155372
2-03orig	67.08370568960382
2-04bio	66.64053926947797
2-04lib	65.972894482091
2-04orig	68.31109992449032
2-05bio	64.52902328814739
2-05lib	68.39908952959028
2-05orig	69.93367722918202
2-06bio	72.37237237237237
2-06lib	68.76310272536688
2-06orig	67.2184709213679
