GROUP	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
ABX_16	1271	0	1	3.8498023636440823	58.7635	66.30897398033957	51.21802601966043	1	0.8715959059562556	1.1284040940437443	solo
ABX_16	1271	0.05	1	3.580418213731185	54.369598091037595	61.38708883954195	47.35210734253324	0.9252273620706322	0.8058081520422241	1.0446465720990403	solo
ABX_16	1271	0.1	1	3.3187326167805926	50.074976580844684	56.579572984053016	43.57038017763635	0.8521442150458138	0.741453115924619	0.9628353141670087	solo
ABX_16	1271	0.15000000000000002	1	3.0656194204999005	45.89630017049327	51.90480382497962	39.887796516006915	0.7810341482466713	0.678785241110671	0.8832830553826716	solo
ABX_16	1271	0.2	1	2.821889273836164	41.85177327086542	47.382574615944186	36.32097192578666	0.7122069528000446	0.6180872808084382	0.8063266247916511	solo
ABX_16	1271	0.25	1	2.588266950176276	37.9608460191113	43.033756023832126	32.887936014390476	0.6459936188128906	0.5596660514501429	0.73232118617563835	solo
ABX_16	1271	0.30000000000000004	1	2.365371289050608	34.243718737685406	38.87976127428968	29.607676201081134	0.5827379025702248	0.5038446689029947	0.6616311362374548	solo
ABX_16	1271	0.35000000000000003	1	2.1537017446960727	30.720620749543755	34.94179860258914	26.499442896498376	0.5227840538692173	0.4509507244547785	0.5946173832836563	solo
ABX_16	1271	0.4	1	1.953635463268917	27.410865778841313	31.23992092576861	23.581810631914013	0.4664607414269285	0.4013003077065528	0.5316211751473042	solo
ABX_16	1271	0.45	1	1.7654370957709948	24.331725942152005	27.791919066834144	20.871532817469866	0.41406189117652975	0.3551785175741722	0.47294526477888726	solo
ABX_16	1271	0.5	1	1.5892799470851082	21.497215687774904	24.612147145413438	18.38228423013637	0.3658259921171289	0.31281806274534996	0.41883392148890786	solo
ABX_16	1271	0.55	1	1.4252723274303698	18.916925872980183	21.710408302905286	16.12344344305508	0.32191625537927765	0.27437854183387783	0.36945396892467747	solo
ABX_16	1271	0.6000000000000001	1	1.2734790973453898	16.59508063242514	19.091053798286683	14.0991074665636	0.2824045646094113	0.23992967516508718	0.3248794540537355	solo
ABX_16	1271	0.65	1	1.133927931886006	14.529988375226404	16.752446282786963	12.307530467665845	0.24726213338596925	0.20944175325952072	0.2850825135124178	solo
ABX_16	1271	0.7000000000000001	1	1.0065943240589779	12.71401204301193	14.686900665209967	10.741123420813894	0.21635899908977393	0.1827856308901596	0.24993236728938825	solo
ABX_16	1271	0.75	1	0.8913677760843769	11.1340962574305	12.881144995535442	9.387047519325558	0.18947299356625286	0.15974282538183665	0.21920316175066906	solo
ABX_16	1271	0.8	1	0.788010250876019	9.772781760732792	11.317253471898162	8.228310049567423	0.16630700623231756	0.14002416550354255	0.19258984696109255	solo
ABX_16	1271	0.8500000000000001	1	0.6961222849627312	8.609543851082519	9.9739184584452	7.245169243719838	0.1465117607202178	0.12329369836241609	0.1697298230780195	solo
ABX_16	1271	0.9	1	0.6151298575625981	7.6222417216257785	8.827874088263723	6.416609354987833	0.12971047881126513	0.1091937912988136	0.15022716632371663	solo
ABX_16	1271	0.9500000000000001	1	0.5442975387839643	6.788472710318312	7.855276283208675	5.721669137427949	0.11552192620109952	0.09736773911404102	0.13367611328815804	solo
ABX_16	1271	1	1	0.48287902144383676	6.087965309689479	7.034390800609343	5.141539818769615	0.10360113522321643	0.08749546604217949	0.11970680440425338	solo
ABX_16	1271	1.05	1	0.42959483690259764	5.49693789309708	6.3389283013705295	4.65494748482363	0.09354340522768521	0.07921494609449115	0.10787186436087928	solo
ABX_16	1271	1.1	1	0.3838286268595176	5.0014147159071065	5.753705000787224	4.249124431026989	0.08511090584984057	0.07230890656661004	0.0979129051330711	solo
ABX_16	1271	1.1500000000000001	1	0.3445290618463706	4.584556000501686	5.259820553347945	3.909291447655427	0.07801706842685827	0.06652584423418324	0.08950829261953329	solo
ABX_16	1271	1.2000000000000002	1	0.31081638323506544	4.233063632435907	4.842252549381634	3.62387471549018	0.07203559407516412	0.06166880317697516	0.08240238497335307	solo
ABX_16	1271	1.25	1	0.2818898961521918	3.935740890604884	4.488234934668916	3.3832468465408523	0.06697594409122813	0.05757395060778974	0.07637793757466652	solo
ABX_16	1271	1.3	1	0.2570385425487814	3.6832658835644203	4.187052169598698	3.1794795975301424	0.06267948443446052	0.054106368707278196	0.07125260016164282	solo
ABX_16	1271	1.35	1	0.23564274316788544	3.467938619783734	3.929789909611011	3.0060873299564568	0.059015181529073896	0.05115568898987393	0.06687467406827385	solo
ABX_16	1271	1.4000000000000001	1	0.2171703253638293	3.2834313139589457	3.7090773301828963	2.857785297734995	0.055875353135176525	0.04863197899606039	0.06311872727429266	solo
ABX_16	1271	1.4500000000000002	1	0.20116898887599738	3.124558785683806	3.5188427586870996	2.7302748126805123	0.053171761138866916	0.04646208637471411	0.059881435903019725	solo
ABX_16	1271	1.5	1	0.18725716802303688	2.9870767314412863	3.3540940366134038	2.6200594262691688	0.0508321786728375	0.044586510780827704	0.05707784656484729	solo
ABX_16	1271	1.55	1	0.17511455277313914	2.8675098405912762	3.2107280571954675	2.524291623987085	0.048797465103189504	0.04295679501709539	0.054638135189283614	solo
ABX_16	1271	1.6	1	0.16447303873744182	2.7630083955925913	3.0853696279458385	2.440647163239344	0.04701912574289468	0.04153338659609016	0.052504864889699195	solo
ABX_16	1271	1.6500000000000001	1	0.15510851520420363	2.6712303567915714	2.975237460287294	2.367223253295849	0.045457305245459705	0.04028390503111368	0.050630705459805726	solo
ABX_16	1271	1.7000000000000002	1	0.14683365894190709	2.5902453453034107	2.8780340285477863	2.302456662059035	0.044079153646454185	0.03918174822907136	0.048976559063837015	solo
ABX_16	1271	1.75	1	0.13949175325536398	2.518456948969494	2.791855761490355	2.245058136448633	0.04285750421553335	0.03820497649814312	0.04751003193292359	solo
ABX_16	1271	1.8	1	0.13295146934120308	2.4545400889400013	2.7151201805404406	2.193959997339562	0.04176980760063647	0.03733542075164961	0.04620419444962333	solo
ABX_16	1271	1.85	1	0.12710250767236062	2.3973906180292777	2.64650695541183	2.148274280646725	0.04079727412474202	0.036557970179562575	0.045036578069921465	solo
ABX_16	1271	1.9000000000000001	1	0.12185198419933599	2.346084775655958	2.5849102761314002	2.1072592751805157	0.039924183815735245	0.035860002810937326	0.04398836482053316	solo
ABX_16	1271	1.9500000000000002	1	0.1171214481540712	2.299846546752525	2.5294003669516796	2.0702927265533706	0.039137330941018234	0.03523092951497733	0.043043732367059134	solo
