AGE_DAYS	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
73	0.75	NA	75.87250228837091	9171.770396385438	9320.477768287577	9023.0630244833	0.8132198523697204	0.8000346349255282	0.8264050698139125	gamma
73	0.8	NA	79.13754432633783	8942.774713799055	9097.881450503619	8787.667977094492	0.7929158295760849	0.779163209081557	0.8066684500706127	gamma
73	0.8500000000000001	NA	82.67475995300421	8697.610922077096	8859.650474015478	8535.571370138714	0.7711782528712532	0.7568109306629565	0.7855455750795498	gamma
73	0.9	NA	86.48798415034064	8435.478515220824	8604.991849250962	8265.965181190686	0.7479361449692731	0.7329061559358565	0.7629661340026896	gamma
73	0.9500000000000001	NA	90.56922459478841	8155.761372240184	8333.273790553689	7978.248953926679	0.7231348771780904	0.7073956451240924	0.7388741092320886	gamma
73	1	NA	94.88518717739541	7858.725286773825	8044.696836307862	7672.753737239788	0.6967980162306525	0.6803087508521123	0.7132872816091926	gamma
73	1.05	NA	99.41656195124989	7542.549123845006	7737.402004736251	7347.696242953761	0.6687640902351729	0.6514873569346271	0.6860408235357188	gamma
73	1.1	NA	104.06443033126014	7209.563362556107	7413.525898077054	7005.6008270351595	0.6392397323485761	0.6211552867228258	0.6573241779743264	gamma
73	1.1500000000000001	NA	108.73499880837761	6860.223725329882	7073.340406853307	6647.107043806456	0.6082653494394749	0.5893692466375222	0.6271614522414275	gamma
73	1.2000000000000002	NA	113.29354362087903	6496.270953894666	6718.322219072506	6274.219688716825	0.5759952852899471	0.5563069929230124	0.595683577656882	gamma
73	1.25	NA	117.57516131648133	6120.181396784169	6350.624478440959	5889.738315127379	0.542649106646866	0.522216749452402	0.5630814638413301	gamma
73	1.3	NA	121.39156469048531	5735.181668816342	5973.104763636657	5497.258573996027	0.508512903012313	0.4874173265114692	0.5296084795131568	gamma
73	1.35	NA	124.54353124740867	5345.195543474481	5589.296379226841	5101.094707722122	0.4739345778285805	0.4522912486745831	0.49557790698257786	gamma
73	1.4000000000000001	NA	126.83863702241861	4954.71052737281	5203.309687784899	4706.111366960721	0.43931201823289606	0.4172698427539691	0.46135419371182307	gamma
73	1.4500000000000002	NA	128.11238583131495	4568.563308233315	4819.658970436192	4317.467646030438	0.40507407168929815	0.38281054256434605	0.4273376008142503	gamma
73	1.5	NA	128.24932108645714	4191.659320100113	4443.023370471283	3940.295269728944	0.37165568109068114	0.3493683551874448	0.3939430069939175	gamma
73	1.55	NA	127.19981272272614	3828.6582343047667	4077.9652860815495	3579.351182527984	0.3394699986496033	0.3173650576100255	0.3615749396891812	gamma
73	1.6	NA	124.98852475428362	3483.6688732464654	3728.641880245654	3238.6958662472766	0.30888133526793815	0.28716067459102484	0.33060199594485146	gamma
73	1.6500000000000001	NA	121.71225912183554	3159.9989772659414	3398.550621621746	2921.447332910137	0.28018297348496807	0.25903166630854396	0.3013342806613922	gamma
73	1.7000000000000002	NA	117.52747875595253	2859.995573229547	3090.3451987850103	2629.645947674084	0.25358301367382435	0.2331589428138017	0.274007084533847	gamma
73	1.75	NA	112.63038499042021	2584.992932830176	2805.74443097628	2364.241434684072	0.2291997597368315	0.20962671189826834	0.2487728075753946	gamma
73	1.8	NA	107.2339904423692	2335.3633322358555	2545.5380914214115	2125.1885730502995	0.20706621973648123	0.18843096402793474	0.2257014754450277	gamma
73	1.85	NA	101.54670644172816	2110.647850854152	2309.6757382286005	1911.619963479703	0.1871417032367618	0.16949479078767865	0.20478861568584494	gamma
73	1.9000000000000001	NA	95.75575871197198	1909.734848613391	2097.4126870011637	1722.0570102256186	0.16932764608528986	0.15268709170694203	0.18596820046363768	gamma
