AGE_DAYS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
128	4-01	0	1	1.5901519712423158	55.959	59.07564059358031	52.842359406419696	1	0.9443049269361442	1.055695073063856	solo
128	4-01	0.05	1	1.5269237908511217	54.01875899567327	57.01147463287884	51.026043358467696	0.9653274539515228	0.9118469479166478	1.0188079599863977	solo
128	4-01	0.1	1	1.475912330990351	52.12439733914261	55.017132352222255	49.23166232606297	0.9314747822359694	0.8797809525914145	0.9831686118805242	solo
128	4-01	0.15000000000000002	1	1.4360194743200945	50.276658456274966	53.09120490704049	47.46211200550944	0.8984552700419051	0.8481586877090269	0.9487518523747831	solo
128	4-01	0.2	1	1.4059726157351213	48.47620291143437	51.23185860152478	45.72054722134396	0.8662807218040774	0.8170365306982605	0.9155249129098942	solo
128	4-01	0.25	1	1.3843997455094406	46.72360724965945	49.43698089106437	44.01023360825453	0.8349614405128657	0.7864728391903809	0.8834500418353504	solo
128	4-01	0.30000000000000004	1	1.369908339979622	45.01936305970102	47.704334068182135	42.33439205121991	0.8045062109705502	0.7565251711292179	0.8524872508118825	solo
128	4-01	0.35000000000000003	1	1.3611561563542693	43.36387617048348	46.03169321427282	40.69605912669414	0.7749222854318961	0.727247790823534	0.8225967800402584	solo
128	4-01	0.4	1	1.3569057046064275	41.757465896441005	44.416952207886546	39.097979584995464	0.7462153701181401	0.6986897475829708	0.7937409926533094	solo
128	4-01	0.45	1	1.356059065009556	40.200364257498876	42.85819118582666	37.54253732917109	0.7183896112778798	0.6708936422947352	0.7658855802610243	solo
128	4-01	0.5	1	1.357673960850328	38.69271511725418	41.35370718326867	36.031723051239695	0.6914475797861681	0.6438950490759251	0.739000110496411	solo
128	4-01	0.55	1	1.3609646153901636	37.234573207591865	39.90201483798999	34.56713157719374	0.6653902537141811	0.6177224678281195	0.7130580396002428	solo
128	4-01	0.6000000000000001	1	1.3652918879943634	35.82590303832689	38.50182596718054	33.14998010947325	0.6402169988442769	0.5923976502345154	0.6880363474540384	solo
128	4-01	0.65	1	1.3701469810661595	34.46657772463571	37.152016461051666	31.78113898821976	0.6159255477159297	0.5679361494705009	0.6639149459613586	solo
128	4-01	0.7000000000000001	1	1.375132211909371	33.15637780060661	35.851587409929884	30.461168191283345	0.5925119784236068	0.5443479724670445	0.640675984380169	solo
128	4-01	0.75	1	1.379941385484945	31.894990121355455	34.59962553768225	29.19035470502866	0.5699706949973276	0.521638247735461	0.6183031422591942	solo
128	4-01	0.8	1	1.3843414277352823	30.682006985771324	33.395266326439234	27.968747645103413	0.5482944117259301	0.4998078529834953	0.5967809704683649	solo
128	4-01	0.8500000000000001	1	1.3881562389212652	29.516925634090263	32.23766186729052	26.796189400890007	0.5274741441785997	0.4788539716737255	0.5760943166834739	solo
128	4-01	0.9	1	1.3912532108695959	28.399148286526575	31.12595447320669	25.67234209984646	0.5074992098952192	0.4587705659473268	0.5562278538431117	solo
128	4-01	0.9500000000000001	1	1.3935324932318587	27.327982889183765	30.059256387204513	24.596709391163017	0.4883572417159664	0.43954876590294706	0.5371657175289857	solo
128	4-01	1	1	1.3949170145071708	26.304650227977273	29.038637337833464	23.570663118121082	0.4700700553615553	0.42121308669063207	0.5189270240324785	solo
128	4-01	1.05	1	1.395355846337602	25.32225898503517	28.057106189474275	22.587411780596064	0.45251450142131144	0.4036421626654526	0.5013868401771703	solo
128	4-01	1.1	1	1.3948018585693513	24.385864485877242	27.119625894242702	21.652103077511782	0.435780919706879	0.38692798437269754	0.48463385504106044	solo
128	4-01	1.1500000000000001	1	1.3932276982047611	23.492418416754877	26.223094527499846	20.761742306009907	0.41981483616138376	0.37101703579424056	0.468612636528527	solo
128	4-01	1.2000000000000002	1	1.3906152337076825	22.64080226767462	25.366358042094426	19.915246493254813	0.40459626275799454	0.35588996396030687	0.45330256155568227	solo
128	4-01	1.25	1	1.3869567580043043	21.829828780582744	24.548214074385616	19.111443486779873	0.3901039829264773	0.3415258222409241	0.4386821436120305	solo
128	4-01	1.3	1	1.3822547383792774	21.05824984249921	23.76741934718243	18.349080337815995	0.3763156926052862	0.3279022201579012	0.4247291650526712	solo
128	4-01	1.35	1	1.376521698096523	20.32476515856572	23.022698110772822	17.62683220635862	0.3632081552308962	0.31499548252039206	0.41142082794140034	solo
128	4-01	1.4000000000000001	1	1.3697800429065357	19.628031512690754	22.312751063529294	16.943311961852213	0.3507573672276265	0.302780820991301	0.39873391346395204	solo
128	4-01	1.4500000000000002	1	1.3620617130110482	18.96667240045071	21.636264302673297	16.297080498228127	0.3389387301497652	0.291232518419345	0.3866449418801854	solo
128	4-01	1.5	1	1.353407601020647	18.339287808681345	20.991917963084568	15.686657654278122	0.327727225445082	0.28032412398860096	0.37513032690156306	solo
128	4-01	1.55	1	1.3438667255236616	17.744463918587474	20.378394300635623	15.110533536539323	0.31709758785159625	0.2700286555610237	0.36416652014216877	solo
128	4-01	1.6	1	1.3334951864033897	17.18078252299068	19.794385061898847	14.56717998408251	0.307024473685925	0.26031880455480816	0.35373014281704185	solo
128	4-01	1.6500000000000001	1	1.3223549519010933	16.646829971502275	19.238598052006612	14.055061890997937	0.2974826206955498	0.2511671382797751	0.3437981031113246	solo
128	4-01	1.7000000000000002	1	1.31051253977934	16.141205487430245	18.709762866685864	13.572648108174624	0.28844699668382645	0.24254629475463504	0.3343476986130178	solo
