AGE_DAYS	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
39	0.25	10	0.3172128531062394	14.865979496941975	15.487705264463399	14.244253729420551	0.8663612600277389	0.8301282543618577	0.9025942656936203	alpha
39	0.30000000000000004	10	0.30821344036769877	14.454496389249712	15.058583631921586	13.850409146577839	0.8423808002313474	0.8071757345418955	0.8775858659207992	alpha
39	0.35000000000000003	10	0.3002880303998002	14.058536597685181	14.64709032225726	13.469982873113103	0.8193050100346279	0.7850052084965473	0.8536048115727084	alpha
39	0.4	10	0.2933277122480312	13.677909964005423	14.252821715679092	13.102998212331753	0.7971228073736631	0.7636180342985212	0.8306275804488051	alpha
39	0.45	10	0.28722339852025097	13.31237792157228	13.875325438189167	12.749430404955392	0.7758202890345228	0.7430127690237479	0.8086278090452977	alpha
39	0.5	10	0.2818690228349969	12.96165766210624	13.514110795220333	12.409204528992149	0.7553809734838215	0.7231850463597829	0.7875769006078602	alpha
39	0.55	10	0.27716417564745804	12.625426672006379	13.16865847408013	12.082194869932627	0.7357860652368935	0.7041275399020128	0.7674445905717743	alpha
39	0.6000000000000001	10	0.27301608151234347	12.303327521440636	12.838429208405081	11.76822583447619	0.7170147339569463	0.6858300164039018	0.7481994515099908	alpha
39	0.65	10	0.2693409006669527	11.994972790719737	12.522871255590545	11.46707432584893	0.6990444015548448	0.668279474206044	0.7298093289036456	alpha
39	0.7000000000000001	10	0.26606440245240615	11.69995002414801	12.221426670522895	11.178473377773123	0.6818510308901988	0.6514603550170536	0.712241706763344	alpha
39	0.75	10	0.26312210147733156	11.417826610873016	11.933536453305079	10.902116768440953	0.6654094102180776	0.6353548128072541	0.6954640076289013	alpha
39	0.8	10	0.2604589692677036	11.148154504370922	11.658644703586045	10.637664305155798	0.6496934282317209	0.6199430217876112	0.6794438346758307	alpha
39	0.8500000000000001	10	0.2580288380103772	10.89047470618411	11.396201935657169	10.38474747671105	0.6346763353663135	0.6052035058197138	0.6641491649129133	alpha
39	0.9	10	0.2557936041838522	10.6443214544672	11.145667706143243	10.142975202791156	0.6203309878995519	0.5911134734800285	0.6495485023190752	alpha
