GROUP	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
ABX_16	1271	0	1	7.188992683812104	113.235	127.32516674539366	99.14483325460634	1	0.8755670354096025	1.1244329645903974	solo
ABX_16	1271	0.05	1	6.900521650065778	105.37919399987507	118.9039679085429	91.85442009120725	0.9306238707102492	0.8111839986859827	1.0500637427345159	solo
ABX_16	1271	0.1	1	6.594078535885846	97.52372143866837	110.44787788023324	84.59956499710351	0.8612506860835287	0.7471149820912573	0.9753863900758002	solo
ABX_16	1271	0.15000000000000002	1	6.26955803704894	89.70443787793764	101.99254582953719	77.41632992633808	0.7921970934599517	0.6836784556571561	0.9007157312627473	solo
ABX_16	1271	0.2	1	5.927231521156298	81.96383868572264	93.58099899521953	70.34667837622574	0.7238383775839858	0.6212450070757781	0.8264317480921936	solo
ABX_16	1271	0.25	1	5.567882510538347	74.35124793952612	85.26409713033173	63.4383987487205	0.6566101288429029	0.5602366648891288	0.7529835927966771	solo
ABX_16	1271	0.30000000000000004	1	5.192961383458275	66.92252560097725	77.10054288566276	56.74450831629174	0.5910056572700777	0.501121634797472	0.6808896797426834	solo
ABX_16	1271	0.35000000000000003	1	4.804746954884922	59.73908707462164	69.15621806102457	50.3219560882187	0.5275673340806433	0.44440284442282596	0.6107318237384605	solo
ABX_16	1271	0.4	1	4.406491843203459	52.86603662627673	61.50260193712503	44.229471315428434	0.46687010753103486	0.3905989430425967	0.543141272019473	solo
ABX_16	1271	0.45	1	4.002515883454669	46.36928150585998	54.21406848498064	38.52449452673932	0.40949601718426265	0.34021719898211084	0.47877483538641447	solo
ABX_16	1271	0.5	1	3.598200846358665	40.3116400696048	47.36398413760932	33.259296001600276	0.35599982399085794	0.2937192211030183	0.4182804268786976	solo
ABX_16	1271	0.55	1	3.1998368447414487	34.74819073349142	41.01975570558894	28.476625761393898	0.3068679360046931	0.2514825430422917	0.36225332896709445	solo
ABX_16	1271	0.6000000000000001	1	2.8142844550264137	29.72139770539311	35.23729387949581	24.205501531290405	0.2624753627888295	0.2137634258956189	0.31118729968204006	solo
ABX_16	1271	0.65	1	2.448453065956198	25.256810375241002	30.055690202351823	20.457930548130182	0.22304773590533847	0.18066790787415712	0.26542756393651984	solo
ABX_16	1271	0.7000000000000001	1	2.1086526770549727	21.360240571283196	25.49312387421491	17.227357268351483	0.18863638072400932	0.15213809571556042	0.22513466573245824	solo
ABX_16	1271	0.75	1	1.7999359453143786	18.017160430532652	21.54497005782789	14.489350803237414	0.159112998900805	0.1279582355564747	0.19026776224513525	solo
ABX_16	1271	0.8	1	1.5255801473694675	15.194609816435383	18.18469196080885	12.20452767206192	0.1341865131490739	0.10778052432606455	0.16059250197208327	solo
