AGE_WEEKS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
6	1412	1.5	1	2.2348092255971825	45.43066215403456	49.81080774852288	41.05051655954623	0.4466971358314567	0.4036293397921038	0.48976493187080955	solo
6	1412	1.55	1	2.2304487487570226	44.52303057286336	48.894629789789555	40.15143135593717	0.43777284530879823	0.39478908155508086	0.48075660906251555	solo
6	1412	1.6	1	2.2259327991460536	43.655696727171886	48.01844484550458	39.29294860883919	0.42924478240347563	0.38634804710594217	0.4721415177010091	solo
6	1412	1.6500000000000001	1	2.221247730524471	42.82672835514291	47.180293907712205	38.47316280257362	0.42109394814478274	0.3782875004554771	0.4639003958340883	solo
6	1412	1.7000000000000002	1	2.2163886456008104	42.034265616872844	46.37830753799394	37.69022369575175	0.4133020556507184	0.37058924909911406	0.4560148622023228	solo
6	1412	1.75	1	2.2113574782722334	41.27652235451151	45.61070336886841	36.94234134015462	0.4058515425183156	0.36323569336507217	0.448467391671559	solo
6	1412	1.8	1	2.2061613865992005	40.55178661105834	44.87578347287572	36.22778974924096	0.39872557592470603	0.356209862484978	0.441241289364434	solo
6	1412	1.85	1	2.200811417329592	39.858420510513206	44.17193162524376	35.54490939578265	0.3919080514487034	0.3494954391518743	0.4343206637455324	solo
6	1412	1.9000000000000001	1	2.195321405439239	39.19485959522202	43.497610484372785	34.892108706071255	0.38538358655525146	0.34307677421201094	0.42769039889849203	solo
6	1412	1.9500000000000002	1	2.1897070753678056	38.55961170865288	42.85135871306631	34.26786470423945	0.37913750961031706	0.33693889300013713	0.42133612622049693	solo
6	1412	2	1	2.1839853140628676	37.9512555038511	42.23178806217872	33.67072294552348	0.3731558452152689	0.3310674946833047	0.4152441957472331	solo
6	1412	2.0500000000000003	1	2.178173589375568	37.36843864973328	41.63758043698573	33.09929686248083	0.3674252965702584	0.32544894583255074	0.4094016473079661	solo
6	1412	2.1	1	2.1722894906361154	36.80987579942472	41.06748496506636	32.55226663378307	0.3619332254978906	0.3200702693003001	0.4037961816954811	solo
6	1412	2.15	1	2.166350371292521	36.27434637718462	40.520315082812935	32.028377671556306	0.3566676306831586	0.3149191293471346	0.3984161320191826	solo
6	1412	2.2	1	2.1603730762787734	35.760692233227026	39.99494565590342	31.52643881055063	0.3516171246144629	0.30998381383679646	0.3932504353921293	solo
6	1412	2.25	1	2.154373739272916	35.26781520900847	39.49031014722227	31.04532027079467	0.34677090964429413	0.3052532142039818	0.3882886050846064	solo
6	1412	2.3000000000000003	1	2.1483676372141227	34.794674649366996	39.00539784385809	30.583951454875905	0.34211875352733184	0.3007168037960926	0.3835207032585711	solo
6	1412	2.35	1	2.142369091384311	34.34028489228052	38.53925115298557	30.141318631575473	0.3376509647384851	0.2963646150975677	0.3789373143794026	solo
6	1412	2.4000000000000004	1	2.136391406043729	33.90371276196636	38.09096297469296	29.716462549239765	0.3333583678237854	0.2921872162633514	0.37452951938421936	solo
6	1412	2.45	1	2.1304468370647682	33.48407508655428	37.6596741581785	29.308476014930058	0.32923227899289875	0.2881756873158746	0.37028887066992283	solo
6	1412	2.5	1	2.124546584257431	33.08053625760419	37.24457104622634	28.916501468982034	0.3252644821230753	0.28432159629690257	0.36620736794924796	solo
6	1412	2.5500000000000003	1	2.1187008021479135	32.692305845276934	36.844883111502966	28.5397285790509	0.32144720531030824	0.28061697561097604	0.36227743500964044	solo
6	1412	2.6	1	2.11291862487976	32.31863627996021	36.459880686988434	28.177391872931985	0.31777309807391296	0.27705429875011167	0.35849189739771425	solo
6	1412	2.6500000000000004	1	2.1072082016769973	31.958820608566004	36.08887279178033	27.828768425351676	0.31423520929531434	0.2736264575491667	0.354843961041462	solo
6	1412	2.7	1	2.101576739958174	31.612190331506543	35.73120505257166	27.493175610441426	0.3108269659501054	0.27032674008703167	0.35132719181317906	solo
6	1412	2.75	1	2.096030553736509	31.27811332448523	35.38625772030433	27.169968928666126	0.30754215267404983	0.2671488093198968	0.34793549602820284	solo
6	1412	2.8000000000000003	1	2.0905751153993894	30.955991847668017	35.053443780826484	26.858539914509546	0.30437489218825325	0.2640866825085621	0.3446631018679444	solo
6	1412	2.85	1	2.0852151093425215	30.645260643494005	34.7322071578241	26.55831412916391	0.30131962659587924	0.2611347114815509	0.3415045417102076	solo
6	1412	2.9000000000000004	1	2.0799544862521935	30.345385123307558	34.42202100584437	26.26874924077075	0.29837109955220376	0.2582875637590717	0.3384546353453359	solo
6	1412	2.95	1	2.0747965170925626	30.055859642118115	34.12238609086868	25.98933319336755	0.29552433930118543	0.2555402045491802	0.3355084740531907	solo
6	1412	3	1	2.0697438460723365	29.776205860090943	33.83282925561613	25.71958246456575	0.2927746425648177	0.25288787961639225	0.3326614055132432	solo
6	1412	3.0500000000000003	1	2.064798542043826	29.505971188816453	33.552901966553165	25.45904041107974	0.2901175592660671	0.2503260990140923	0.3299090195180418	solo
6	1412	3.1	1	2.0599621479333488	29.244727319976548	33.28217893944168	25.207275700511413	0.28754887806197965	0.24785062166504998	0.32724713445890924	solo
6	1412	3.1500000000000004	1	2.055235727920576	28.99206883370388	33.020256840168166	24.96388082723959	0.28506461266036937	0.2454574407688977	0.32467178455184104	solo
6	1412	3.2	1	2.0506199121801525	28.747611883697044	32.76675305755083	24.728470709843258	0.28266098889120866	0.24314277001129023	0.32217920777112713	solo
6	1412	3.25	1	2.0461149390756517	28.51099295599646	32.5213045448141	24.500681367178817	0.2803344325022881	0.24090303054642973	0.31976583445814644	solo
6	1412	3.3000000000000003	1	2.041720694756799	28.281867698229725	32.28356672644315	24.2801686700163	0.27808155764776754	0.2387348387225248	0.31742827657301026	solo
6	1412	3.35	1	2.037436750158666	28.059909816089633	32.05321246717895	24.066607165000317	0.2758991560377925	0.23663499451838252	0.31516331755720256	solo
6	1412	3.4000000000000004	1	2.033262395438547	27.84481003380457	31.82993109998376	23.85968896762538	0.2737841867173162	0.2346004706585848	0.31296790277604764	solo
6	1412	3.45	1	2.029196671914267	27.636275115389967	31.61342750989047	23.659122720889464	0.2717337664425508	0.23262840237444593	0.31083913051065565	solo
6	1412	3.5	1	2.025238401588674	27.434026943525332	31.4034212707466	23.464632616304065	0.2697451606240231	0.23071607777809086	0.3087742434699553	solo
