AGE_WEEKS	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
16	0	12	0.9242125182196256	57.12383333333333	58.93525658310487	55.312410083561794	1	0.968289536187087	1.0317104638129129	alpha
16	0.05	12	0.8594504409004903	53.71020101043513	55.39469292109716	52.025709099773096	0.9402415397618938	0.9107531141369439	0.9697299653868438	alpha
16	0.1	12	0.7981988088609422	50.40939205288338	51.9738329707536	48.84495113501317	0.8824581459498817	0.8550713123538016	0.9098449795459619	alpha
16	0.15000000000000002	12	0.7406139517470415	47.22727992233216	48.67885659420425	45.77570325046007	0.8267526383733379	0.8013415868530077	0.8521636898936682	alpha
16	0.2	12	0.6868005754458857	44.169377380768644	45.515481773203966	42.82327298833332	0.7732215224953154	0.749656850555664	0.7967861944349668	alpha
16	0.25	12	0.6368053898501617	41.24072419675683	42.48883982602413	39.992608567489526	0.7219530236373638	0.7001037261298908	0.7438023211448368	alpha
16	0.30000000000000004	12	0.5906128694865058	38.44576728129535	39.60334723429476	37.28818732829595	0.6730249886584763	0.652760593125974	0.6932893841909785	alpha
16	0.35000000000000003	12	0.5481440789972809	35.78823761450532	36.862580267678865	34.713894961331775	0.6265027314548567	0.6076954737747836	0.6453099891349297	alpha
16	0.4	12	0.509259334732992	33.27102981091244	34.26915976577993	32.272899856044944	0.5824369246504659	0.564963833356975	0.5999100159439569	alpha
16	0.45	12	0.47376508001513495	30.896091437746787	31.82465393170919	29.967528943784384	0.540861662022217	0.5246064067324681	0.557116917311966	alpha
16	0.5	12	0.4414247493674346	28.664329991365655	29.529506602010446	27.799153380720863	0.5017928300452349	0.4866471971253248	0.516938462965145	alpha
16	0.55	12	0.4119727005648875	26.575545500532662	27.382997156253545	25.76809384481178	0.4652269280574541	0.4510918182687048	0.47936203784620335	alpha
16	0.6000000000000001	12	0.38512968859503105	24.628395874360294	25.38323619338368	23.873555555336907	0.4311404616466617	0.41792635686803653	0.44435456642528687	alpha
16	0.65	12	0.3606180351009556	22.820400284946636	23.52719864592011	22.113601923973164	0.39949000186635414	0.3871169113412644	0.4118630923914439	alpha
16	0.7000000000000001	12	0.338174725313684	21.147983178878942	21.81079346097549	20.485172896782395	0.37021295569354784	0.35860991291053174	0.3818159984765639	alpha
16	0.75	12	0.31756112274036374	19.606558238336934	20.22896660179815	18.98414987487572	0.34322903583741055	0.3323332620921633	0.35412480958265785	alpha
16	0.8	12	0.29856868455151847	18.190648196968805	18.775832065601282	17.60546432833633	0.31844235821537664	0.3081982300733143	0.32868648635743897	alpha
16	0.8500000000000001	12	0.281020782234768	16.894033356715187	17.444823968802606	16.34324274462777	0.29574404186311937	0.2861019961538722	0.30538608757236657	alpha
16	0.9	12	0.2647713012633264	15.709919403988645	16.22886161860457	15.19097718937272	0.2750151466957221	0.26593063355411	0.28409965983733415	alpha
16	0.9500000000000001	12	0.24970101063172953	14.631113996175303	15.120518983916746	14.14170900843386	0.25612976480059935	0.2475623252717143	0.2646972043294844	alpha
16	1	12	0.2357395073897099	13.651811672326213	14.113852616543259	13.189770728109167	0.23898626677702325	0.23089785748696548	0.24707467606708103	alpha
16	1.05	12	0.22272635704477373	12.759707905167708	13.196243543383273	12.323172266952144	0.22336925168714242	0.21572733389657225	0.23101116947771258	alpha
16	1.1	12	0.21067396286595397	11.952244859171671	12.36515823886927	11.539331479474072	0.2092339425021956	0.2020055519057849	0.21646233309860632	alpha
16	1.1500000000000001	12	0.1994961066161876	11.220634346250439	11.611639530274129	10.829629162226748	0.19642649471324763	0.18958162522169816	0.2032713642047971	alpha
16	1.2000000000000002	12	0.18913876274001074	10.55800530941226	10.928710472463148	10.187300146361373	0.1848266247785471	0.17833712396217646	0.19131612559491776	alpha
16	1.25	12	0.179551294216038	9.957865866944042	10.30977993698503	9.605951796903053	0.17432068693354572	0.1681601397589982	0.1804812341080932	alpha
16	1.3	12	0.1706851908530694	9.414151431783012	9.748688258549373	9.07961460501665	0.16480251556034134	0.15894617141735906	0.17065885970332362	alpha
16	1.35	12	0.1624934178325789	8.921251678504763	9.239732925181437	8.60277043182809	0.15617389726713188	0.1505986193473493	0.16174917518691448	alpha
16	1.4000000000000001	12	0.1549301933167741	8.474019776304525	8.777677375323231	8.170362177285819	0.14834473251919705	0.1430289548253791	0.15366051021301497	alpha
16	1.4500000000000002	12	0.14795103519217628	8.067767511791027	8.35774621224311	7.777788811338944	0.14123295025936683	0.13615663301083805	0.1463092675078956	alpha
16	1.5	12	0.14151295021622062	7.698249794229905	7.975610079999707	7.420889508460102	0.1347642366594779	0.1299088152077814	0.13961965811117438	alpha
16	1.55	12	0.13557467418745364	7.361641684760499	7.627363163383659	7.095920206137338	0.12887163299779425	0.12421995850192136	0.13352330749366714	alpha
16	1.6	12	0.13009690348739367	7.05451062263738	7.3094958679728554	6.799525377301905	0.12349504945636901	0.11903132161360389	0.12795877729913416	alpha
16	1.6500000000000001	12	0.12504248380637942	6.773786015413001	7.018864780210937	6.5287072506150645	0.11858073277201288	0.11429042607344392	0.12287103947058182	alpha
16	1.7000000000000002	12	0.12037654053668043	6.516727871302389	6.752661555337808	6.280794187266969	0.1140807171198663	0.10995050263200654	0.11821093160772606	alpha
16	1.75	12	0.11606654786016839	6.280895713967126	6.508381967582951	6.053409460351302	0.10995227994095506	0.1059699447169098	0.11393461516500032	alpha
16	1.8	12	0.11208234116635303	6.064118648619305	6.283796000608287	5.844441296630322	0.10615741792455521	0.10231178398911701	0.11000305185999343	alpha
