REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
3-01B	2015	207401	401622	changeo_germlined	0.9	0.75	0.5164084636797786
3-02A	2301	266309	360544	changeo_germlined	0.9	0.75	0.7386310686074377
3-02B	1971	266462	457738	changeo_germlined	0.9	0.75	0.5821277674127995
3-03A	1567	259914	371414	changeo_germlined	0.9	0.75	0.6997959150705143
3-03B	1641	258919	490254	changeo_germlined	0.9	0.75	0.5281323558808291
3-04A	1486	247255	357177	changeo_germlined	0.9	0.75	0.6922478211083021
3-04B	1703	404607	770541	changeo_germlined	0.9	0.75	0.5250947061869518
3-05A	2768	267566	341207	changeo_germlined	0.9	0.75	0.7841750022713485
3-05B	2729	92677	152791	changeo_germlined	0.9	0.75	0.606560595846614
3-06A	2621	189306	272566	changeo_germlined	0.9	0.75	0.6945327003367991
3-06B	2466	188748	328377	changeo_germlined	0.9	0.75	0.5747905608492677
3-07A	2057	242246	321444	changeo_germlined	0.9	0.75	0.7536180485558915
3-07B	2869	102278	178218	changeo_germlined	0.9	0.75	0.5738926483295739
3-08A	1881	201561	255503	changeo_germlined	0.9	0.75	0.7888791912423729
3-08B	1791	196545	382493	changeo_germlined	0.9	0.75	0.5138525410922553
3-09A	1509	251404	361700	changeo_germlined	0.9	0.75	0.6950622062482721
3-09B	1785	225582	412394	changeo_germlined	0.9	0.75	0.5470060185162733
3-10A	1114	251358	342708	changeo_germlined	0.9	0.75	0.7334465492489233
3-10B	1423	209816	448251	changeo_germlined	0.9	0.75	0.46807703719567834
4-01A	895	253300	358591	changeo_germlined	0.9	0.75	0.7063757874570192
4-01B	995	232497	586988	changeo_germlined	0.9	0.75	0.39608475812112004
4-02A	1597	243824	329617	changeo_germlined	0.9	0.75	0.7397191285643641
4-02B	1793	196957	404162	changeo_germlined	0.9	0.75	0.48732191546953946
1-01A	509	189593	320291	changeo_split_functional	0.9	0.75	0.5919398297173508
1-01B	737	308319	922955	changeo_split_functional	0.9	0.75	0.334056373279304
1-02A	2544	208322	349209	changeo_split_functional	0.9	0.75	0.5965539261588333
1-02B	2863	208143	420716	changeo_split_functional	0.9	0.75	0.49473516576502913
1-03A	1104	207947	372621	changeo_split_functional	0.9	0.75	0.5580657021477587
1-03B	1336	203628	614354	changeo_split_functional	0.9	0.75	0.33145059688713674
1-04A	1502	240280	424559	changeo_split_functional	0.9	0.75	0.5659519642735168
1-04B	1783	301213	810654	changeo_split_functional	0.9	0.75	0.371567894564142
1-05A	2156	247615	395341	changeo_split_functional	0.9	0.75	0.6263327102425501
1-05B	2299	195623	381863	changeo_split_functional	0.9	0.75	0.5122858197835349
1-06A	1607	273795	436432	changeo_split_functional	0.9	0.75	0.627348590387506
1-06B	2369	198343	405393	changeo_split_functional	0.9	0.75	0.4892610380544311
1-07A	1573	259837	385238	changeo_split_functional	0.9	0.75	0.6744843447427304
1-07B	2110	428474	922751	changeo_split_functional	0.9	0.75	0.464344118835959
1-08A	1865	134418	203241	changeo_split_functional	0.9	0.75	0.6613724592970907
1-08B	2166	363940	800459	changeo_split_functional	0.9	0.75	0.45466413645171083
1-09A	1496	212960	333424	changeo_split_functional	0.9	0.75	0.6387062718940448
1-09B	1071	210005	538389	changeo_split_functional	0.9	0.75	0.3900618326154509
1-10A	4119	174016	274512	changeo_split_functional	0.9	0.75	0.6339103572885703
1-10B	2650	132622	277012	changeo_split_functional	0.9	0.75	0.4787590429295482
2-01A	756	163484	298330	changeo_split_functional	0.9	0.75	0.5479971843260819
2-01B	845	185379	647718	changeo_split_functional	0.9	0.75	0.28620325512028383
2-02A	2368	218905	328768	changeo_split_functional	0.9	0.75	0.6658342661086237
2-02B	1491	151194	327621	changeo_split_functional	0.9	0.75	0.46149056379169834
2-03A	2733	173924	311940	changeo_split_functional	0.9	0.75	0.557555940244919
2-03B	943	125727	445649	changeo_split_functional	0.9	0.75	0.28212113120415394
2-04A	2862	198405	304485	changeo_split_functional	0.9	0.75	0.6516084536184048
2-04B	1108	164138	460547	changeo_split_functional	0.9	0.75	0.3563979354984399
2-05A	1853	185137	290004	changeo_split_functional	0.9	0.75	0.6383946428325127
2-05B	1631	213298	469044	changeo_split_functional	0.9	0.75	0.454750513811071
2-06A	1327	203103	305533	changeo_split_functional	0.9	0.75	0.6647497978941719
2-06B	1603	275598	658058	changeo_split_functional	0.9	0.75	0.418805029343918
2-07A	1880	252759	388333	changeo_split_functional	0.9	0.75	0.6508821037614625
2-07B	2051	168729	329647	changeo_split_functional	0.9	0.75	0.5118475217429553
2-08A	1212	235235	375495	changeo_split_functional	0.9	0.75	0.6264663976883846
2-08B	1055	181439	483270	changeo_split_functional	0.9	0.75	0.3754402300991164
2-09A	2611	225288	343078	changeo_split_functional	0.9	0.75	0.6566669970094264
2-09B	2260	197880	453119	changeo_split_functional	0.9	0.75	0.4367064722512188
2-10A	1183	250028	401594	changeo_split_functional	0.9	0.75	0.622588982903131
2-10B	1200	226216	500590	changeo_split_functional	0.9	0.75	0.4518987594638327
3-01A	1937	176458	301764	changeo_split_functional	0.9	0.75	0.5847549740857093
3-01B	1625	170232	401622	changeo_split_functional	0.9	0.75	0.4238612426610096
3-02A	1880	223054	360544	changeo_split_functional	0.9	0.75	0.6186595810774829
3-02B	1595	218824	457738	changeo_split_functional	0.9	0.75	0.47805513197505994
3-03A	1191	200305	371414	changeo_split_functional	0.9	0.75	0.5393038496125617
3-03B	1253	200897	490254	changeo_split_functional	0.9	0.75	0.4097814602226601
3-04A	1120	188588	357177	changeo_split_functional	0.9	0.75	0.5279959235897048
3-04B	1297	317737	770541	changeo_split_functional	0.9	0.75	0.41235573447746454
3-05A	2431	241325	341207	changeo_split_functional	0.9	0.75	0.7072686082055761
3-05B	2402	82874	152791	changeo_split_functional	0.9	0.75	0.5424010576539194
3-06A	2200	162467	272566	changeo_split_functional	0.9	0.75	0.5960648063221385
3-06B	2088	162072	328377	changeo_split_functional	0.9	0.75	0.4935546643035292
3-07A	1757	208211	321444	changeo_split_functional	0.9	0.75	0.6477364642052738
3-07B	2407	86119	178218	changeo_split_functional	0.9	0.75	0.48322279455498324
3-08A	1600	174588	255503	changeo_split_functional	0.9	0.75	0.6833109591668199
3-08B	1564	173783	382493	changeo_split_functional	0.9	0.75	0.4543429552959139
3-09A	1286	218986	361700	changeo_split_functional	0.9	0.75	0.6054354437379044
3-09B	1501	194173	412394	changeo_split_functional	0.9	0.75	0.4708434167325422
3-10A	967	221968	342708	changeo_split_functional	0.9	0.75	0.6476884111255062
3-10B	1242	187252	448251	changeo_split_functional	0.9	0.75	0.41773916845695824
4-01A	750	216900	358591	changeo_split_functional	0.9	0.75	0.6048673837324416
4-01B	838	197403	586988	changeo_split_functional	0.9	0.75	0.3362981866750257
4-02A	1317	203427	329617	changeo_split_functional	0.9	0.75	0.6171617361968588
4-02B	1489	165337	404162	changeo_split_functional	0.9	0.75	0.4090859605801634
