GROUP	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
YMT_16	0.55	NA	1.409571061113367	49.90037636052765	52.66308487395976	47.13766784709554	0.40385052269944643	0.38149154750545716	0.42620949789343576	gamma
YMT_16	0.6000000000000001	NA	1.2727743905181825	45.973255460233474	48.46784742609403	43.47866349437292	0.3720677999233861	0.3518787283609613	0.392256871485811	gamma
YMT_16	0.65	NA	1.154407414217741	42.41605670759146	44.67865366294424	40.153459752238675	0.34327890732624206	0.3249674028903718	0.3615904117621123	gamma
YMT_16	0.7000000000000001	NA	1.0522447746369414	39.20147754551735	41.26383940672622	37.13911568430848	0.3172628816056567	0.3005719069799936	0.3339538562313198	gamma
YMT_16	0.75	NA	0.9641794702773994	36.30211376583205	38.191870802208655	34.41235672945544	0.29379793678315697	0.27850387644578156	0.3090919971205323	gamma
YMT_16	0.8	NA	0.8882675460301865	33.69097050196734	35.431942900822285	31.949998103112403	0.2726655997375181	0.25857567367758083	0.2867555257974554	gamma
YMT_16	0.8500000000000001	NA	0.8227562493279371	31.341897909440533	32.95447052617855	29.72932529270252	0.25365423622601324	0.24060346704032018	0.2667050054117063	gamma
YMT_16	0.9	NA	0.7660964969616237	29.229940428920088	30.731461971647168	27.72841888619301	0.23656187751783597	0.22440985975561165	0.24871389528006027	gamma
YMT_16	0.9500000000000001	NA	0.7169421104317754	27.331596335298862	28.736777050745278	25.926415619852445	0.22119832095999856	0.20982600259670242	0.23257063932329472	gamma
YMT_16	1	NA	0.6742191223271125	25.628226512491512	26.94967170994086	24.306781315042166	0.20741271765470243	0.19671808221041479	0.21810735309899004	gamma
YMT_16	1.05	NA	0.6367090646180364	24.089972078801193	25.33789891408273	22.842045243519657	0.19496341561733382	0.1848637742623686	0.20506305697229907	gamma
YMT_16	1.1	NA	0.6038282094136957	22.708138811215022	23.891620354515176	21.52465726791487	0.18378005132031436	0.17420197446546756	0.19335812817516118	gamma
YMT_16	1.1500000000000001	NA	0.5748071214699878	21.462817400457606	22.58941865659592	20.33621614431929	0.17370149601985738	0.16458375905374484	0.18281923298596992	gamma
YMT_16	1.2000000000000002	NA	0.5490702431562074	20.338996486445286	21.415154388014102	19.26283858487647	0.16460626074016005	0.15589676869313232	0.17331575278718778	gamma
YMT_16	1.25	NA	0.5261376350758612	19.32323408111457	20.354444896774336	18.292023265454805	0.15638555764631032	0.14803982846966737	0.16473128682295324	gamma
YMT_16	1.3	NA	0.5056089220976555	18.403546538015675	19.394521815589197	17.412571260442153	0.14894240146012858	0.1409223039574799	0.15696249896277722	gamma
YMT_16	1.35	NA	0.48714957884610627	17.56928801542238	18.524083645044602	16.61449238580016	0.14219063393874615	0.13446334324041193	0.14991792463708034	gamma
YMT_16	1.4000000000000001	NA	0.4704794210988134	16.811027031330195	17.73314975215112	15.888904310509266	0.13605392481744066	0.12859106040724066	0.14351678922764066	gamma
YMT_16	1.4500000000000002	NA	0.45536306365273244	16.12042497291898	17.012920177568155	15.227929768269803	0.1304647885702179	0.12324170367201599	0.13768787346841982	gamma
YMT_16	1.5	NA	0.4416020690946525	15.490119930798585	16.35564408172247	14.624595779874697	0.12536364426458554	0.11835883976703664	0.1323684487621344	gamma
YMT_16	1.55	NA	0.4290285165354858	14.913618011868945	15.754498452619144	14.072737571118745	0.12069793594176945	0.11389257633744124	0.12750329554609766	gamma
YMT_16	1.6	NA	0.41749974459382355	14.385193338048072	15.203477801006638	13.566908875089506	0.11642132329283857	0.10979883600546697	0.12304381058021018	gamma
YMT_16	1.6500000000000001	NA	0.40689405611623547	13.899797233506732	14.697294929017973	13.10229953799549	0.11249294669866206	0.10603868954322739	0.11894720385409674	gamma
YMT_16	1.7000000000000002	NA	0.39710720615548917	13.452976602324775	14.231292424390855	12.674660780258694	0.10887676664919717	0.10257775100058428	0.11517578229781004	gamma
YMT_16	1.75	NA	0.38804952603474624	13.040801161462666	13.801364256708606	12.280238066216725	0.10554097483004549	0.0993856344105302	0.11169631524956079	gamma
YMT_16	1.8	NA	0.3796435634907838	12.659798983077295	13.403886694481676	11.915711271672913	0.10245747245766113	0.0964354695570458	0.10847947535827646	gamma
YMT_16	1.85	NA	0.3718221416657343	12.306899682981875	13.035657689301264	11.578141676662487	0.09960141049584115	0.09370347298035786	0.10549934801132443	gamma
YMT_16	1.9000000000000001	NA	0.364526758424149	11.97938454175714	12.693843859669604	11.264925223844676	0.09695078597910466	0.09116856969075866	0.10273300226745066	gamma
YMT_16	1.9500000000000002	NA	0.3577062626512082	11.67484284064226	12.375934232483052	10.973751448801467	0.09448608863312812	0.0888120607859363	0.10016011648031994	gamma
YMT_16	2	NA	0.3513157564211341	11.391133719888371	12.07969994967524	10.702567490101503	0.09218999218922053	0.0866173321795341	0.09776265219890694	gamma
YMT_16	2.0500000000000003	NA	0.3453156817520861	11.12635291097432	11.803159210505305	10.449546611443337	0.09004708514362743	0.08456959984658115	0.09552457044067371	gamma
YMT_16	2.1	NA	0.3396710585502319	10.87880374756088	11.54454678890993	10.21306070621183	0.08804363614524655	0.08265568729913307	0.09343158499136002	gamma
YMT_16	2.15	NA	0.3343508466771614	10.646971917490477	11.302287535178188	9.991656299802766	0.08616738966013263	0.0808638313698261	0.09147094795043915	gamma
YMT_16	2.2	NA	0.3293274101639758	10.429503475668527	11.07497333871177	9.784033612625285	0.08440738802676018	0.0791835127659124	0.08963126328760795	gamma
YMT_16	2.25	NA	0.3245760656927103	10.225185692853291	10.86134309185471	9.589028293851872	0.08275381646267883	0.07760530823801809	0.08790232468733959	gamma
YMT_16	2.3000000000000003	NA	0.3200747007706106	10.032930366810334	10.660265252683164	9.405595480937503	0.08119786799942	0.07612076157166676	0.08627497442717323	gamma
YMT_16	2.35	NA	0.3158034496934029	9.851759269230184	10.47072265682276	9.232795881637609	0.07973162570242498	0.0747222709471608	0.08474098045768917	gamma
YMT_16	2.4000000000000004	NA	0.31174441755588533	9.680791444008792	10.291799274799743	9.06978361321784	0.07834795987430382	0.07340299052065441	0.08329292922795323	gamma
YMT_16	2.45	NA	0.30788144432177567	9.51923210999835	10.122668652377204	8.915795567619497	0.0770404382432906	0.07215674435499324	0.08192413213158795	gamma
