GROUP	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
ABX_16	0	2	5.346603269437563	145.63875	156.1178998477217	135.15960015227827	1	0.9280469665681578	1.0719530334318423	alpha
ABX_16	0.05	2	5.185540442625741	138.4449831554896	148.60845566341195	128.28151064756727	0.9506054065658324	0.88081990986305	1.0203909032686147	alpha
ABX_16	0.1	2	5.016286213502136	131.21575409510632	141.0474944097153	121.38401378049734	0.9009673187603322	0.8334595962990438	0.9684750412216208	alpha
ABX_16	0.15000000000000002	2	4.8389234475755085	123.96586747326681	133.4499831544612	114.48175179207243	0.8511873898482843	0.7860665639609818	0.9163082157355869	alpha
ABX_16	0.2	2	4.65362801646513	116.71265730695015	125.83360061666838	107.59171399723192	0.8013846404679398	0.7387574666579597	0.8640118142779197	alpha
ABX_16	0.25	2	4.460688397412004	109.47628636340993	118.21907496859315	100.7334977582267	0.7516975143182013	0.6916668658459834	0.8117281627904191	alpha
ABX_16	0.30000000000000004	2	4.260527449094672	102.28002135713778	110.63050171250765	93.92954100176792	0.7022857677447643	0.6449488271615069	0.7596227083280216	alpha
ABX_16	0.35000000000000003	2	4.053725558204238	95.15044747264929	103.09560356993913	87.20529137535945	0.6533319427188801	0.5987780819003147	0.7078858035374455	alpha
ABX_16	0.4	2	3.8410437143723404	88.11757263693154	95.64587998014528	80.5892652937178	0.6050420828037287	0.5533504324482174	0.6567337331592402	alpha
ABX_16	0.45	2	3.623444298219731	81.21475916987498	88.31657949437266	74.1129388453773	0.5576452638454737	0.508882003212588	0.6064085244783595	alpha
ABX_16	0.5	2	3.4021065448255534	74.47841112513079	81.14641742455687	67.81040482570471	0.5113914471603938	0.465606885706618	0.5571760086141695	alpha
ABX_16	0.55	2	3.1784329324933327	67.94734452302448	74.17695859798744	61.71773044806152	0.4665471553623228	0.4237727283985995	0.5093215823260461	alpha
ABX_16	0.6000000000000001	2	2.954042374140282	61.6617806554162	67.45159731753635	55.871963993296056	0.42338856008731335	0.3836339160648939	0.46314320410973286	alpha
ABX_16	0.65	2	2.73074632074995	55.661935447438076	61.014099887023235	50.309771007852916	0.3821917961218294	0.34544220551091603	0.4189413867327428	alpha
ABX_16	0.7000000000000001	2	2.510504950888509	49.98623360954793	54.906732896298905	45.065734322796956	0.3432206992270116	0.30943505298416085	0.37700634546986234	alpha
ABX_16	0.75	2	2.2953626143869186	44.669252122199175	49.168080177857235	40.170424066541116	0.3067126854782754	0.27582236229397133	0.3376030086625794	alpha
ABX_16	0.8	2	2.0873645094620072	39.739581499071335	43.83074076022398	35.64842223791869	0.27286406604747254	0.24477292092879602	0.30095521116614904	alpha
ABX_16	0.8500000000000001	2	1.8884598532877104	35.21786364585851	38.91917694455221	31.516550347164802	0.24181657454392125	0.21640223049953947	0.267230918588303	alpha
ABX_16	0.9	2	1.7004000096737961	31.11529499447231	34.44801777274451	27.782572216200112	0.21364708907809435	0.19076359977135285	0.23653057838483582	alpha
ABX_16	0.9500000000000001	2	1.5246424847360736	27.432850500511726	30.42109485989409	24.444606141129363	0.18836230399197829	0.1678441083923706	0.20888049959158597	alpha
ABX_16	1	2	1.3625616468180373	24.16606212134989	26.836633875828827	21.49549036687095	0.16593154034451607	0.1475945815716693	0.18426849911736284	alpha
ABX_16	1.05	2	1.2139539339912195	21.282597644452355	23.66190363396586	18.90329165493885	0.14613279532028636	0.1297957559711193	0.16246983466945344	alpha
ABX_16	1.1	2	1.079913403360899	18.770756597934632	20.88734797494407	16.654165220925194	0.12888572991689803	0.11435256908566707	0.143418890748129	alpha
ABX_16	1.1500000000000001	2	0.959964531521633	16.59482142760052	18.476317335818788	14.713325519382256	0.11394509653234818	0.10102617276914459	0.12686402029555177	alpha
ABX_16	1.2000000000000002	2	0.8535621601340054	14.720729042299968	16.39368013472883	13.047777949871108	0.10107700761164161	0.08959001604910169	0.11256399917418153	alpha
ABX_16	1.25	2	0.7598799707480562	13.11349912857279	14.60283650381233	11.62416175333325	0.09004127767213596	0.07981503379652223	0.1002675215477497	alpha
ABX_16	1.3	2	0.6778979997190753	11.738971476341032	13.067627140982163	10.4103158116999	0.08060335231070737	0.07148039798267908	0.08972630663873567	alpha
ABX_16	1.35	2	0.606488269163191	10.56507448061157	11.753769645217458	9.37637931600568	0.07254301812266015	0.06438107520152213	0.08070496104379817	alpha
ABX_16	1.4000000000000001	2	0.5444894631233759	9.562622139652795	10.629801877336162	8.495442401969429	0.06565987513386923	0.058332294131674636	0.0729874561360638	alpha
ABX_16	1.4500000000000002	2	0.4907655304742151	8.705702328246359	9.667585092829514	7.743819563663203	0.0597760028031438	0.053171422877930516	0.06638058272835708	alpha
ABX_16	1.5	2	0.44424685554219473	7.971750810997476	8.842458648105346	7.101042973889607	0.05473646822015073	0.04875792310693142	0.060715013333370045	alpha
ABX_16	1.55	2	0.4039553998398432	7.341409889424262	8.133147924470832	6.549671854377692	0.050408355533292225	0.04497204112489082	0.055844669941693625	alpha
ABX_16	1.6	2	0.36901675162044384	6.79825814942036	7.521517692288393	6.074998606552327	0.04667891031350077	0.0417127900819825	0.05164503054501905	alpha
ABX_16	1.6500000000000001	2	0.3386625013952292	6.328478090708755	6.992244396357649	5.66471178505986	0.04345325739687243	0.038895635845953506	0.048010878947791366	alpha
ABX_16	1.7000000000000002	2	0.31222614287671796	5.920508140245574	6.532460135315798	5.30855614517535	0.04065201150274617	0.03645016278411721	0.04485386022137514	alpha
