AGE_DAYS	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
73	2.0500000000000003	10	0.06479612828954975	2.030490801415984	2.1574888792011384	1.9034927236308297	0.5258588617865837	0.492968752367416	0.5587489712057515	beta
73	2.1	10	0.0696938654029085	2.0708372184979944	2.2074346846310773	1.9342397523649117	0.5363078236578304	0.5009316535153298	0.5716839938003311	beta
73	2.15	10	0.07480250731055543	2.1128556310429456	2.2594658513249284	1.9662454107609628	0.5471898008524863	0.5092205160322842	0.5851590856726883	beta
73	2.2	10	0.0801088728609196	2.1564172764015637	2.3134277820510643	1.999406770752063	0.558471446270362	0.5178086834881793	0.5991342090525449	beta
73	2.25	10	0.08559811080994877	2.2013925966699213	2.3691618110020896	2.033623382337753	0.5701192068552968	0.5266701412254401	0.6135682724851536	beta
73	2.3000000000000003	10	0.09125393548523765	2.247651574210819	2.4265060012094266	2.0687971472122118	0.5820994104888735	0.5357794836310955	0.6284193373466513	beta
73	2.35	10	0.09705889442583035	2.295064207446807	2.4852961449007096	2.104832269992904	0.5943783892118474	0.5451119015059167	0.643644876917778	beta
73	2.4000000000000004	10	0.10299465617953386	2.3435010912221923	2.5453669079341643	2.1416352745102203	0.6069226295269726	0.5546431862831274	0.6592020727708178	beta
73	2.45	10	0.10904230658381843	2.3928340664209404	2.6065530601163993	2.1791150727254816	0.6196989406377978	0.5643497478768681	0.6750481333987276	beta
73	2.5	10	0.11518264261225357	2.4429369053404293	2.668690736504595	2.2171830741762637	0.6326746319475568	0.5742086430264733	0.6911406208686403	beta
73	2.5500000000000003	10	0.12139645412646119	2.493686002320728	2.7316186802594604	2.2557533243819954	0.6458176919191393	0.5841976111409143	0.7074377726973642	beta
73	2.6	10	0.12766478549218166	2.544961043025243	2.7951794246839508	2.2947426613665356	0.6590969614061687	0.5942951148351965	0.7238988079771409	beta
73	2.6500000000000004	10	0.13396917084374899	2.5966456302471603	2.8592203801396017	2.334070880354719	0.6724822957250798	0.6044803825836628	0.7404842088664969	beta
73	2.7	10	0.14029183866653167	2.6486278488683594	2.923594799979665	2.3736608977570537	0.6859447109688339	0.6147334511889401	0.7571559707487278	beta
73	2.75	10	0.14661588318375013	2.700800757343383	2.988162607945065	2.4134389067417015	0.6994565112920066	0.6250352060721517	0.7738778165118615	beta
73	2.8000000000000003	10	0.15292540168264623	2.753062797586289	3.0527910772055966	2.453334517966981	0.7129913950637596	0.6353674177199836	0.7906153724075358	beta
73	2.85	10	0.15920559832696204	2.8053181192238017	3.1173553580817974	2.493280880365806	0.7265245388432988	0.6457127729655782	0.8073363047210196	beta
73	2.9000000000000004	10	0.1654428561406037	2.8574768177229575	3.181738857257982	2.533214778187933	0.740032659050447	0.6560549001206488	0.8240104179802452	beta
73	2.95	10	0.1716247797009326	2.909455088838865	3.2458334759073137	2.5730767017704164	0.7534940519647042	0.6663783873036937	0.8406097166257147	beta
73	3	10	0.17774021166061138	2.961175304139757	3.309539717599081	2.6128108906804326	0.7668886132848134	0.6766687936131748	0.857108432956452	beta
73	3.0500000000000003	10	0.18377922655109263	3.012566014071934	3.3727666792187025	2.6523653489251653	0.780197838922523	0.6869126530665911	0.8734830247784549	beta
73	3.1	10	0.18973310544490257	3.063561886174782	3.4354319395217314	2.6916918328278325	0.7934048090014404	0.6970974714605989	0.8897121465422819	beta
73	3.1500000000000004	10	0.19559429500839448	3.1141035867124662	3.497461360510422	2.7307458129145106	0.8064941572018709	0.7072117165004163	0.9057765979033255	beta
73	3.2	10	0.20135635430238333	3.1641376142309574	3.5587888167219153	2.7694864117399995	0.8194520276552234	0.7172448016978944	0.9216592536125525	beta
73	3.25	10	0.20701389242310417	3.2136160934562614	3.6193558669049946	2.8078763200075283	0.8322660215675353	0.7271870646481012	0.9373449784869692	beta
73	3.3000000000000003	10	0.21256249975372257	3.262496537599066	3.6791113815801664	2.845881693617966	0.8449251356608535	0.7370297403670071	0.9528205309546998	beta
73	3.35	10	0.21799867524515448	3.310741586593267	3.7380111387512134	2.8834720344353206	0.8574196943819451	0.7467649304119947	0.9680744583518954	beta
73	3.4000000000000004	10	0.22331975178644034	3.358318728133092	3.79601739867094	2.9206200575952446	0.8697412776561685	0.7563855685172629	0.983096986795074	beta
73	3.45	10	0.22852382137606636	3.4052000076383377	3.8530984671448922	2.9573015481317833	0.8818826457739335	0.7658853834628554	0.9978799080850115	beta
73	3.5	10	0.23360966147826567	3.4513617325122445	3.9092282554502393	2.9934952095742497	0.8938376627990635	0.7752588598641036	1.0124164657340233	beta
73	3.5500000000000003	10	0.23857666365001653	3.496784175295076	3.9643858436008346	3.0291825069893177	0.9056012196911651	0.7845011975224865	1.0267012418598438	beta
73	3.6	10	0.24342476525945544	3.5414512795833626	4.018555052437012	3.064347506729713	0.9171691581442529	0.7936082699235604	1.0407300463649456	beta
73	3.6500000000000004	10	0.24815438488622646	3.5853503718975883	4.071724028880283	3.098976714914894	0.9285381959659089	0.8025765824064984	1.0544998095253195	beta
73	3.7	10	0.25276636179858497	3.6284718820510338	4.123884847679481	3.1330589164225864	0.9397058546580814	0.811403230465932	1.0680084788502306	beta
73	3.75	10	0.25726189973905245	3.6708090740059776	4.175033132088875	3.1665850159230806	0.9506703897139118	0.8200858585828282	1.0812549208449955	beta
73	3.8000000000000003	10	0.26164251511749226	3.712357788702851	4.225167695157612	3.1995478822480896	0.9614307240153315	0.8286226199189567	1.0942388281117061	beta
73	3.85	10	0.2659099896045348	3.7531161999127183	4.274290202667027	3.23194219715841	0.9719863846034531	0.837012137150563	1.1069606320563434	beta
73	3.9000000000000004	10	0.27006632703598527	3.793084583791018	4.322404858218565	3.263764309363471	0.9823374429973326	0.8452534646621817	1.1194214213324836	beta
73	3.95	10	0.2741137144768955	3.8322651024967063	4.369518110539917	3.2950120944534955	0.992484459155403	0.853346052271706	1.1316228660391	beta
73	4	10	0.27805448724924453	3.870661601980928	4.415638382729199	3.325684821232657	1.0024284291065504	0.8612897106131929	1.1435671475999079	beta
