AGE_DAYS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
128	4-01	0	1	8.573123291513182	272.8425	289.6455128863873	256.03948711361267	1	0.938414972424064	1.061585027575936	solo
128	4-01	0.05	1	8.426119664016797	265.7793313512113	282.29422242210893	249.26444028031364	0.9741126523588198	0.9135836252794696	1.0346416794381703	solo
128	4-01	0.1	1	8.278263616966447	258.7536807355832	274.9787792793657	242.5285821918007	0.9483628127420883	0.8888959095148327	1.007829715969344	solo
128	4-01	0.15000000000000002	1	8.130195795665346	251.7750924912113	267.70998343797436	235.84020154444826	0.9227854622766296	0.8643822041817103	0.9811887203715491	solo
128	4-01	0.2	1	7.9825894310489955	244.85327041782767	260.4988582060538	229.20768262960155	0.8974161665350072	0.8400732386985224	0.9547590943714921	solo
128	4-01	0.25	1	7.836142444464657	237.99800801783894	253.3565649867153	222.63945104896257	0.872290819860685	0.8159998938910272	0.9285817458303429	solo
128	4-01	0.30000000000000004	1	7.691567743051553	231.21911216090012	246.2943079219312	216.14391639986906	0.8474453655896722	0.7921929919270975	0.90269773925224706	solo
128	4-01	0.35000000000000003	1	7.549581733601936	224.52632117187719	239.32322946807844	209.72941287567593	0.8229154958332269	0.7686830786100991	0.8771479130563548	solo
128	4-01	0.4	1	7.410891194627249	217.92921862482666	232.45429845964108	203.40413879001224	0.7987363355226061	0.7455002017281481	0.8519724693170643	solo
128	4-01	0.45	1	7.276178780394028	211.43714439207704	225.69819274672392	197.17609603743017	0.7749421163934397	0.7226736891702362	0.827210543616643	solo
128	4-01	0.5	1	7.146087579581034	205.05910473088795	219.06517901723578	191.05303044454013	0.7515658474427114	0.7002319303060929	0.8028997645793299	solo
128	4-01	0.55	1	7.0212053026127625	198.80368337342523	212.56499289460788	185.04237385224258	0.7286389890630135	0.6782021637107217	0.7790758144153052	solo
128	4-01	0.6000000000000001	1	6.902048808528733	192.6789557027547	206.2067227870086	179.1511886185008	0.7061911384874231	0.6566102737605058	0.7557720032143402	solo
128	4-01	0.65	1	6.789049783910191	186.69240813463531	199.99870120034873	173.3861150689219	0.6842497343142484	0.6354805980333779	0.7330188705951189	solo
128	4-01	0.7000000000000001	1	6.682542431650772	180.8508647724892	193.94840726368543	167.75332228129295	0.6628397876888286	0.6148357469283303	0.7108438284493268	solo
128	4-01	0.75	1	6.582753998122769	175.16042325676563	188.06238401217328	162.25846250135797	0.6419836471838721	0.5946964365938517	0.6892708577738926	solo
128	4-01	0.8	1	6.4897988530319095	169.6264014920248	182.3461735108767	156.9066294731729	0.6217008035479253	0.5750813362037546	0.668320270892096	solo
128	4-01	0.8500000000000001	1	6.403676637909415	164.25329661409225	176.80427219303525	151.70232103514925	0.6020077393151443	0.5560069308672559	0.6480085477630327	solo
128	4-01	0.9	1	6.3242747312705685	159.04475717060998	171.44010787223704	146.64940646898293	0.5829178268437285	0.5374874019589432	0.6283482517285139	solo
128	4-01	0.9500000000000001	1	6.251374968384323	154.00356905168707	166.25603884357557	141.75109925979856	0.5644412767500924	0.5195345272814851	0.6093480262186998	solo
128	4-01	1	1	6.184791732724352	149.1412292866157	161.2631983346365	137.01926023859488	0.5466202270050147	0.5021917781818994	0.5910486758281299	solo
128	4-01	1.05	1	6.12374829478899	144.43008905185744	156.43241516003243	132.42776294368244	0.5293533414034011	0.48536339809114215	0.57334328471566	solo
128	4-01	1.1	1	6.068167917042383	139.8991199045686	151.7925104741131	128.0057293350241	0.512746804125342	0.46915612243336036	0.5563374858173236	solo
128	4-01	1.1500000000000001	1	6.017416407359293	135.53821068347378	147.33213012187838	123.74429124506916	0.49676355657008636	0.453537448326669	0.5399896648135037	solo
128	4-01	1.2000000000000002	1	5.970957424449544	131.34608495630377	143.04894646144692	119.64322345116062	0.4813989204625518	0.4385065503034191	0.5242912906216844	solo
128	4-01	1.25	1	5.928242197000599	127.32078247369735	138.93992367144912	115.70164127594558	0.4666457112572175	0.42406018591658406	0.5092312365978509	solo
128	4-01	1.3	1	5.8887253228585195	123.45972105248448	135.00141060013618	111.91803150483278	0.45249446494766943	0.4101928090558941	0.49479612083944474	solo
128	4-01	1.35	1	5.851878551421297	119.75976295186855	131.2292341545567	108.2902917491804	0.4389336813431506	0.3968967142185708	0.48097064846773036	solo
128	4-01	1.4000000000000001	1	5.817202163351609	116.21728388223619	127.61879061319382	104.81577715127855	0.4259500769940028	0.3841622076886063	0.46773794629939924	solo
128	4-01	1.4500000000000002	1	5.7842337720977	112.82824289518548	124.16513276665724	101.49135302371373	0.41352884134687773	0.3719778004662534	0.4550798822275021	solo
128	4-01	1.5	1	5.752554556836076	109.58825156988213	120.86305132038261	98.31345181938165	0.40165389032090726	0.3603304170698541	0.44297736357196044	solo
128	4-01	1.55	1	5.7217930841432825	106.49264111905391	117.70714949096511	95.27813274714272	0.3903081122591016	0.34920561403426054	0.43141061048394264	solo
128	4-01	1.6	1	5.691626980985838	103.53652627158873	114.69191016775741	92.38114237542004	0.3794736020656193	0.3385878020301824	0.4203594021010562	solo
128	4-01	1.6500000000000001	1	5.661782785390992	100.71486503255574	111.81175538021094	89.61797468490053	0.36913188023330584	0.328460465964432	0.40980329450217967	solo
128	4-01	1.7000000000000002	1	5.63203432840158	98.02251366219964	109.06109810555996	86.98392921883932	0.3592640943482033	0.3188063781076604	0.3997218105887462	solo
128	4-01	1.75	1	5.602199998856887	95.45427644228147	106.43438667423129	84.47416621033165	0.3498512014890696	0.3096078001423226	0.39009460283581665	solo
