AGE_DAYS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
56	2-01	0.75	1	1.5888756101630386	62.53786195692257	65.65200092875622	59.42372298508891	0.6005489242942788	0.5706439555103151	0.6304538930782423	solo
56	2-01	0.8	1	1.5727062576763007	60.66275786718368	63.745205490489994	57.58031024387736	0.582542364607154	0.5529417267464419	0.612143002467866	solo
56	2-01	0.8500000000000001	1	1.5603830459300256	58.87551408788516	61.93380865999492	55.8172195157754	0.5653795244408448	0.5360108274949743	0.5947482213867153	solo
56	2-01	0.9	1	1.551153771177337	57.17206462712581	60.212270153116876	54.13185910113475	0.5490213582158249	0.5198263697538736	0.5782163466777761	solo
56	2-01	0.9500000000000001	1	1.5443853738510784	55.54846637170763	58.575406082706174	52.52152666070909	0.5334300003525021	0.5043624030528701	0.5624975976521343	solo
56	2-01	1	1	1.5395602654717593	54.003928635118335	57.02141130747191	50.98644596276476	0.5185978579156604	0.4896210762308818	0.547574639600439	solo
56	2-01	1.05	1	1.536223029958624	52.525710184608215	55.53665199554811	49.51476837366832	0.5044025772881054	0.47548860726914055	0.5333165473070703	solo
56	2-01	1.1	1	1.5340474876716317	51.119339733634106	54.12601756004466	48.112661907223554	0.4908972505138461	0.4620242273907644	0.5197702736369277	solo
56	2-01	1.1500000000000001	1	1.5327436862606063	49.77840074476185	52.7825231673638	46.77427832215991	0.47802025980594187	0.44917177613720627	0.5068687434746775	solo
56	2-01	1.2000000000000002	1	1.5320865596992643	48.49964026949066	51.5024747476991	45.49680579128223	0.46574036721250556	0.4369042516292125	0.49457648279579863	solo
56	2-01	1.25	1	1.5318977305563701	47.27994640178416	50.282410781673285	44.27748202189503	0.4540276892075552	0.42519512766561546	0.48286025074949496	solo
56	2-01	1.3	1	1.5320367630331584	46.11634645638355	49.11908333491987	43.113609577847235	0.44285367919741825	0.41401850086039915	0.4716888575344374	solo
56	2-01	1.35	1	1.5323937769731892	45.00600436652848	48.00944097952923	42.00256775352773	0.432191102531135	0.40334920466826774	0.46103300039400225	solo
56	2-01	1.4000000000000001	1	1.532883306993305	43.94621746809044	46.95061354229997	40.94182139388091	0.4220140056186032	0.3931628940829495	0.4508651171542569	solo
56	2-01	1.4500000000000002	1	1.5334392619243604	42.93441281268369	45.93989853853512	39.92892708683226	0.4122976805255097	0.3834361051028454	0.4411592559481739	solo
56	2-01	1.5	1	1.5340108322126706	41.96814313011324	44.97474911314439	38.96153714708209	0.40301862620085793	0.37414629298726254	0.4318909594144533	solo
56	2-01	1.55	1	1.5345591983054787	41.04508254074528	44.052763301568675	38.03740177992188	0.3941545073030098	0.3652718530354674	0.42303716157055227	solo
56	2-01	1.6	1	1.5350549054496159	40.16302210107547	43.171674430048256	37.15436977210268	0.3856841114239322	0.3567921272210716	0.4145760956267928	solo
56	2-01	1.6500000000000001	1	1.5354757859205612	39.31986525083802	42.32934249037565	36.31038801130039	0.3775873053679426	0.34868739957747324	0.40648721115841197	solo
56	2-01	1.7000000000000002	1	1.5358053260758067	38.51362321727619	41.52374634364956	35.50350009090282	0.36984499101907814	0.3409388827996756	0.3987510992384806	solo
56	2-01	1.75	1	1.5360313913980232	37.7424104214721	40.75297662773517	34.73184421520903	0.36243906122823943	0.3335286981279886	0.3913494243284903	solo
56	2-01	1.8	1	1.5361452371232052	37.0044399226768	40.01522926246103	33.99365058289258	0.35535235606525023	0.3264398502215171	0.38426486190898335	solo
56	2-01	1.85	1	1.5361407448141369	36.298018929153805	39.308799464174044	33.28723839413357	0.34856861970964287	0.3196561984177536	0.37748104100153207	solo
56	2-01	1.9000000000000001	1	1.536013836267586	35.621544397926705	38.63207619676638	32.61101259908703	0.34207245819518706	0.3131624255082325	0.37098249088214164	solo
56	2-01	1.9500000000000002	1	1.535762025503865	34.973498740794035	37.983536999605896	31.963460481982175	0.3358492981748991	0.306944004935753	0.36475459141404526	solo
56	2-01	2	1	1.5353840774222165	34.352445649859796	37.3617431440436	31.343148155675994	0.3298853468337563	0.3009871671316998	0.3587835265358128	solo
56	2-01	2.0500000000000003	1	1.534879748188756	33.75702605246233	36.7653350795122	30.74871702541246	0.32416755304401834	0.2952788655576438	0.35305624053039286	solo
56	2-01	2.1	1	1.5342495877353317	33.18595420263334	36.19302813789002	30.178880267376666	0.3186835698316441	0.28980674288902014	0.34756039677426803	solo
