AGE_WEEKS	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
16	1.75	NA	1.9211943483969405	87.28843778732383	91.05390951748373	83.52296605716393	0.04771861301793174	0.04566011486083039	0.0497771111750331	gamma
16	1.8	NA	1.8257265390930033	83.18651252527019	86.76487078751143	79.60815426302895	0.04547618333113488	0.04351997587131704	0.04743239079095272	gamma
16	1.85	NA	1.7401916031362619	79.51443129243981	82.9251441607859	76.10371842409371	0.043468739644872814	0.04160418012696238	0.045333299162783246	gamma
16	1.9000000000000001	NA	1.6632918233975196	76.21410276068205	79.47409483032115	72.95411069104296	0.041664524745040364	0.03988236087596462	0.04344668861411611	gamma
16	1.9500000000000002	NA	1.593919436583609	73.23645127450003	76.36047596446227	70.11242658453779	0.04003671008168728	0.03832887650123086	0.041744543662143696	gamma
16	2	NA	1.5311279333804768	70.53991560748197	73.54087121263095	67.538960002333	0.03856257507314241	0.036922020575477964	0.04020312957080685	gamma
16	2.0500000000000003	NA	1.4741074208217197	68.08920039427039	70.9783978484242	65.20000294011659	0.037222824542134686	0.03564336569578585	0.03880228338848352	gamma
16	2.1	NA	1.4221636352626608	65.8542408831204	68.64163038835777	63.066851377883026	0.03600102276945134	0.034477220024181195	0.037524825514721485	gamma
16	2.15	NA	1.3747001624304296	63.80934600519812	66.50370881310313	61.11498319729312	0.03488312502932138	0.0334101778736673	0.03635607218497546	gamma
16	2.2	NA	1.3312034303929083	61.93248947553565	64.54160025520191	59.32337869586937	0.0338570900503548	0.03243074824871599	0.03528343185199362	gamma
16	2.25	NA	1.2912300730318589	60.20472321361437	62.735487652511836	57.67395877471691	0.03291255934585372	0.0315290477152122	0.034296070976495244	gamma
16	2.3000000000000003	NA	1.2543963036752	58.60969153963765	61.06826311718121	56.15111996209409	0.032040591635911594	0.03069654620836558	0.0333846370634576	gamma
16	2.35	NA	1.2203689836035614	57.133228260539006	59.52510751625174	54.741349004826276	0.03123344258345454	0.029925856338560722	0.032541028828348355	gamma
16	2.4000000000000004	NA	1.1888581139802705	55.76302189109093	58.09314097722047	53.43290280496139	0.030484381778199832	0.029210558419971975	0.03175820513642769	gamma
16	2.45	NA	1.1596105201457059	54.48833689069194	56.76113174627128	52.2155420351126	0.02978754034311764	0.028545054844101334	0.031030025842133945	gamma
16	2.5	NA	1.132404533192213	53.29978098796117	55.5192530889478	51.08030888697454	0.029137783736053875	0.027924448579923294	0.03035111889218445	gamma
16	2.5500000000000003	NA	1.1070455050566865	52.18911047281815	54.35887979197621	50.01934115366009	0.02853060530731777	0.027344441536906922	0.029716769077728612	gamma
16	2.6	NA	1.083362020210186	51.14906681803508	53.2724173598656	49.02571627620456	0.02796203698438284	0.026801249308769967	0.029122824659995706	gamma
16	2.6500000000000004	NA	1.061202689772291	50.17323920319018	52.2531582554409	48.093320150939455	0.02742857411684418	0.026291529453439873	0.028565618780248492	gamma
16	2.7	NA	1.040433433003877	49.25594850081069	51.29516055780965	47.216736443811726	0.026927112054269037	0.025812320983697658	0.02804190312484042	gamma
16	2.75	NA	1.020935167121286	48.39214908767174	50.39314524577984	46.39115292956364	0.02645489246865652	0.025360993164927716	0.027548791772385325	gamma
16	2.8000000000000003	NA	1.0026018396889798	47.577345497582336	49.54240899420633	45.61228200095834	0.02600945779040244	0.02493520205931085	0.02708371352149403	gamma
16	2.85	NA	0.9853387489046125	46.80752146357752	48.73874992400232	44.876293003152725	0.02558861241727201	0.02453285353455765	0.02664437129998637	gamma
16	2.9000000000000004	NA	0.9690611062569312	46.07907933024077	47.9784041973229	44.179754463158645	0.025190389592487983	0.024152071682062636	0.026228707502913326	gamma
16	2.95	NA	0.953692803629328	45.38878816964947	47.257991717077985	43.51958462222096	0.024813023040892543	0.023791171774075172	0.025834874307709917	gamma
16	3	NA	0.9391653532083547	44.73373922237832	46.57446949019453	42.893008954562106	0.02445492260955254	0.023448637040158704	0.025461208178946378	gamma
16	3.0500000000000003	NA	0.9254169737625205	44.111307520420404	45.92509145967699	42.297523581163816	0.02411465328787915	0.023123098666333455	0.02510620790942485	gamma
16	3.1	NA	0.9123918011703052	43.51911874173552	45.30737381181895	41.73086367165209	0.023790917087759766	0.022813318521102202	0.024768515654417327	gamma
16	3.1500000000000004	NA	0.90003920465345	42.95502050443419	44.719064930229024	41.19097607863935	0.023482537350738186	0.022518174195264598	0.02444690050621177	gamma
16	3.2	NA	0.8883131931413903	42.417057438826674	44.158119304375575	40.675995573277774	0.023188445120468106	0.02223664601043212	0.02414024423050409	gamma
16	3.25	NA	0.8771718986613033	41.903449482932984	43.62267481255976	40.18422415330621	0.022907667277359756	0.02196780570720573	0.023847528847513785	gamma
16	3.3000000000000003	NA	0.8665771257035287	41.4125729357821	43.11103289198726	39.714112979576946	0.022639316180847486	0.021710806570283955	0.023567825791411017	gamma
16	3.35	NA	0.8564939572256649	40.94294387633604	42.62164118547453	39.264246567197546	0.02238258060489087	0.02146487478611797	0.023300286423663764	gamma
16	3.4000000000000004	NA	0.8468904093901498	40.493203616919104	42.15307831817618	38.83332891566203	0.02213671778569378	0.021229301860568314	0.023044133710819252	gamma
16	3.45	NA	0.8377371283277575	40.06210591085173	41.70404051088614	38.42017131081732	0.021901046428407393	0.02100343795051603	0.022798654906298753	gamma
16	3.5	NA	0.8290071232235906	39.648505676399665	41.27332978084506	38.02368157195427	0.021674940542768438	0.020786685985490782	0.02256319510004609	gamma
16	3.5500000000000003	NA	0.8206755308654966	39.25134903463275	40.85984351812242	37.64285455114309	0.02145782399702211	0.02057849647387256	0.022337151520171666	gamma
16	3.6	NA	0.8127194075046289	38.86966448854752	40.462565256793326	37.276763720301716	0.02124916569574809	0.02037836290373242	0.02211996848776376	gamma
16	3.6500000000000004	NA	0.8051175444763897	38.50255509582866	40.08055648632371	36.924553705333615	0.02104847530088639	0.020185817661414616	0.02191113294035816	gamma
16	3.7	NA	0.7978503045357693	38.14919150871406	39.712949370658485	36.58543364676964	0.020855299426789136	0.0200004284019498	0.021710170451628475	gamma
16	3.75	NA	0.7908994762893026	37.80880577224582	39.35894026116444	36.258671283327196	0.020669218249864802	0.01982179481467074	0.021516641685058863	gamma
16	3.8000000000000003	NA	0.7842481444691273	37.480685787279015	39.01778390538087	35.94358766917716	0.020489842481630417	0.019649545735261734	0.0213301392279991	gamma
