AGE_DAYS	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
128	0	2	2.185136917718105	101.81375	106.09653966001635	97.53096033998365	1	0.9579350563159068	1.0420649436840932	alpha
128	0.05	2	2.029857617379196	97.6209465492579	101.59939437306541	93.64249872545038	0.9588188879130559	0.9197431459449277	0.9978946298811842	alpha
128	0.1	2	1.8887481848948766	93.60265266333852	97.30453108159787	89.90077424507916	0.9193517836573009	0.8829924665880509	0.955711100726551	alpha
128	0.15000000000000002	2	1.7616123660684124	89.75775872470267	93.21045551691715	86.30506193248819	0.8815877887289553	0.8476758977298074	0.9154996797281031	alpha
128	0.2	2	1.6480859300503883	86.08444138110438	89.31463044743035	82.85425231477842	0.8455089944246664	0.8137825422870528	0.8772354465622801	alpha
128	0.25	2	1.5476356078354128	82.5801984154216	85.61350846797077	79.54688836287244	0.8110908243279675	0.7812980895298762	0.8408835591260588	alpha
128	0.30000000000000004	2	1.459565943794188	79.241893769498	82.10259045239583	76.38119708660018	0.7783024765269722	0.750205125403987	0.8063998276499572	alpha
128	0.35000000000000003	2	1.3830358052100675	76.06581138518717	78.77651175272825	73.3551110176461	0.7471074524333616	0.7204833435331288	0.7737315613335944	alpha
128	0.4	2	1.3170850651029322	73.04771623761651	75.62915552979385	70.46627694543918	0.7174641562423201	0.6921096310217351	0.7428186814629051	alpha
128	0.45	2	1.26067018397261	70.18292073470539	72.65378889167519	67.71205257773559	0.689326547099045	0.6650580356556516	0.7135950585424384	alpha
128	0.5	2	1.212705556481694	67.46635455307332	69.84321376762904	65.0894953385176	0.6626448250169875	0.6392996558767121	0.685989994157263	alpha
128	0.55	2	1.172106191734246	64.89263597538364	67.18992189723916	62.59535005352812	0.6373661315429757	0.6148025198318314	0.65992974325412	alpha
128	0.6000000000000001	2	1.137827031126111	62.45614288167304	64.68624288331635	60.22604288002972	0.6134352470238356	0.5915315257519709	0.6353389682957002	alpha
128	0.65	2	1.1088950430855105	60.15108171440167	62.32447606148426	57.97768736731908	0.5907952679711893	0.56944850147764	0.6121420344647385	alpha
128	0.7000000000000001	2	1.084431819649352	57.97155296599672	60.097000276198685	55.84610565579476	0.5693882502706827	0.5485124126730895	0.590264087868276	alpha
128	0.75	2	1.0636661768485167	55.91161200803976	57.996359406236266	53.826864609843255	0.5491558066375097	0.5286797177183166	0.569631895556703	alpha
128	0.8	2	1.0459377329011519	53.96532437198256	56.015324658540294	51.91532408542483	0.5300396495756473	0.5099048417863484	0.5501744573649462	alpha
128	0.8500000000000001	2	1.0306933417511037	52.12681488285828	54.146936711795675	50.10669305392088	0.5119820739620953	0.4921407280835926	0.5318234198405979	alpha
128	0.9	2	1.0174785784621132	50.3903103233307	52.38453169215745	48.39608895450395	0.49492637608702855	0.4753394208002745	0.5145133313737825	alpha
128	0.9500000000000001	2	1.005926349613506	48.75017555291726	50.72175496925958	46.77859613657495	0.47881720841160713	0.45945263912364437	0.49818177769956984	alpha
128	1	2	0.9957635886495819	47.203951784010975	49.15561255488051	45.25229101314144	0.46363042107781094	0.44446148985909506	0.4827993522965269	alpha
128	1.05	2	0.9867024481972958	45.73733735642349	47.67123861834769	43.80343609449929	0.4492255452374899	0.4302310453597799	0.46822004511519993	alpha
128	1.1	2	0.9786212744589304	44.35429133188183	46.27235378432602	42.43622887943764	0.4356414662251595	0.41680253285472385	0.4544803995955951	alpha
128	1.1500000000000001	2	0.9713616732399206	43.04696061214637	44.95079450765918	41.14312671663356	0.42280105204008667	0.4041018695081319	0.4415002345720414	alpha
128	1.2000000000000002	2	0.9648159856190363	41.81073096659847	43.7017355501203	39.91972638307664	0.41065898237319093	0.39208580749728444	0.42923215724909747	alpha
128	1.25	2	0.9589006957767838	40.64122267045817	42.52063349893106	38.76181184198528	0.39917224019799064	0.38071293751566243	0.41763154288031884	alpha
128	1.3	2	0.9535504947380271	39.53429130246398	41.40321592959086	37.6653666753371	0.38830011960529864	0.369943810883472	0.40665642832712534	alpha
128	1.35	2	0.9487135791132844	38.48602569762483	40.34547014433096	36.626581250918704	0.3780042056954472	0.35974100994137537	0.39626740144951894	alpha
128	1.4000000000000001	2	0.9443480035779745	37.49274357914431	39.34363165502944	35.64185550325918	0.36824833167567556	0.3500691753644196	0.38642748798693144	alpha
128	1.4500000000000002	2	0.9404189065834515	36.550985347032544	38.394172534316645	34.70779815974844	0.3589985178527708	0.3408949985610828	0.37710203714445883	alpha
128	1.5	2	0.9368964422968713	35.65750644945828	37.49378973360386	33.8212231653127	0.35022289670558526	0.33218718655695034	0.3682586068542202	alpha
128	1.55	2	0.9337542715852798	34.80926870977577	36.63939345249335	32.97914396705819	0.34189162770034276	0.3239164058593087	0.3598668495413768	alpha
128	1.6	2	0.9309684868299385	34.00343092984719	35.82809563477562	32.17876622491876	0.3339768049978239	0.3160552108621749	0.35189839913347287	alpha
128	1.6500000000000001	2	0.9285168669539919	33.237339040532625	35.05719865880042	31.417479422264833	0.3264523607128961	0.3085779614469051	0.3443267599788871	alpha
128	1.7000000000000002	2	0.9263783788692546	32.508516024203765	34.3241842828441	30.692847765563425	0.3192939659348935	0.3014607335999649	0.3371271982698221	alpha
128	1.75	2	0.9245328589346995	31.814651792541575	33.626702898577435	30.002600686505716	0.31247893130880233	0.29468122612619335	0.33027663649141137	alpha
128	1.8	2	0.9229608227726046	31.153593166010076	32.962563137785835	29.344623194234316	0.3059861086150945	0.2882186658897675	0.32375355134042144	alpha
