AGE_WEEKS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
16	1009	0	1	7.072546939406258	92.3655	106.22743728020525	78.50356271979474	1	0.8499229985199533	1.1500770014800468	solo
16	1009	0.05	1	6.705781903989812	85.39677519431615	98.5398662143166	72.2536841743157	0.9245527301245178	0.7822583559263545	1.0668471043226813	solo
16	1009	0.1	1	6.323624801131381	78.5796230989469	90.97369996090866	66.18554623698513	0.8507464702615901	0.7165613376962733	0.9849316028269068	solo
16	1009	0.15000000000000002	1	5.928257344973472	71.95265692423897	83.57182781147202	60.33348603700592	0.7789992683874278	0.6532036965859106	0.9047948401889453	solo
16	1009	0.2	1	5.52253704229042	65.55585234054038	76.37982604671795	54.73187863436281	0.7097439232239352	0.5925575960110951	0.8269302504367751	solo
16	1009	0.25	1	5.110021521402575	59.429329125033895	69.44478726720752	49.413870982860274	0.6434147936733293	0.5349819032307547	0.7518476841159039	solo
16	1009	0.30000000000000004	1	4.694940995415393	53.61181952405963	62.813734784614425	44.40990426350483	0.5804312164613371	0.48080619131066066	0.6800562416120134	solo
16	1009	0.35000000000000003	1	4.282102300516713	48.138886636837576	56.53165292396644	39.74612034970871	0.5211782173737768	0.43031348663417307	0.6120429481133804	solo
16	1009	0.4	1	3.876713386707331	43.04101736670469	50.63923598303536	35.442798750374024	0.46598586449166296	0.38372334638337935	0.5482483825999466	solo
16	1009	0.45	1	3.4841281869928276	38.34177500975242	45.170540773779194	31.51300924572564	0.41510926709380036	0.3411772712292538	0.48904126295834693	solo
16	1009	0.5	1	3.109527863851672	34.05623919192435	40.15080181399739	27.961676569851303	0.3687116855527697	0.3027285790674148	0.43469479203812456	solo
16	1009	0.55	1	2.7575724676857254	30.189966249611057	35.59470897103432	24.785223528187796	0.3268532758401249	0.2683385412106013	0.3853680104696485	solo
16	1009	0.6000000000000001	1	2.432071566463291	26.738657086651976	31.505429764743937	21.971884408560015	0.2894874935625529	0.237879775549962	0.3410952115751437	solo
16	1009	0.65	1	2.1357271300706113	23.688621680013647	27.874569935757137	19.502673424270156	0.25646612295731247	0.2111467314556859	0.3017855144589391	solo
16	1009	0.7000000000000001	1	1.8699927212346665	21.017998345881338	24.68311673085333	17.352879960909345	0.2275524773414461	0.1878718781461622	0.26723307653672995	solo
16	1009	0.75	1	1.6350706908534758	18.69855594161125	21.903235607861088	15.493876275361414	0.20244091074709986	0.16774527583742213	0.23713654565677758	solo
16	1009	0.8	1	1.430040116886091	16.69781605908443	19.50064318462862	13.894988933540244	0.18077979396078006	0.150434836963371	0.21112475095818914	solo
16	1009	0.8500000000000001	1	1.2530823198490795	14.981205010098245	17.43720122666634	12.52520879353015	0.16219481310768896	0.13560483939923618	0.18878478681614175	solo
16	1009	0.9	1	1.1017561457052365	13.513983845732525	15.673386211060453	11.354581480404597	0.1463098651090778	0.12293098051117135	0.16968874970698425	solo
16	1009	0.9500000000000001	1	0.9732748445882566	12.262788494974274	14.170372137426074	10.355204852522473	0.13276373207500933	0.11211117627818258	0.1534162878718361	solo
16	1009	1	1	0.8649465309003549	11.198676736699673	12.893940785817229	9.503412687582117	0.12124306950863334	0.10288920308537405	0.13959693593189262	solo
16	1009	1.05	1	0.7733643568747411	10.287931808188237	11.803698094589711	8.772165521786762	0.11138284108447674	0.09497231673933192	0.12779336542962158	solo
16	1009	1.1	1	0.6965211909688646	9.511988689584438	10.877145138352358	8.146832240816519	0.10298205162733313	0.08820211270243239	0.11776199055223388	solo
16	1009	1.1500000000000001	1	0.6318887080031959	8.847752258743945	10.086231368667756	7.609273148820135	0.09579066056854503	0.08238220059243045	0.10919912054465959	solo
16	1009	1.2000000000000002	1	0.5774390265599989	8.27722798143116	9.408987676756626	7.145468286105695	0.08961384912582253	0.07736079256979819	0.10186690568184685	solo
16	1009	1.25	1	0.5314422635028949	7.785250075033887	8.826857771362006	6.743642378705768	0.0842874241468285	0.07301040300443097	0.09556444528922602	solo
16	1009	1.3	1	0.4924449024510194	7.359132642909608	8.324306916083946	6.3939583697352695	0.07967404109661733	0.06922453047658779	0.09012355171664688	solo
16	1009	1.35	1	0.45923892329664334	6.988318038167605	7.888409788127978	6.088226288207231	0.07565939704941352	0.06591450582963586	0.08540428826919119	solo
16	1009	1.4000000000000001	1	0.4308278957230935	6.66404695053736	7.508454109689801	5.819639791384919	0.07214865886653957	0.06300663983180863	0.08129067790127051	solo
16	1009	1.4500000000000002	1	0.4063938841725555	6.3790627758938845	7.175580152409435	5.582545399378334	0.06906326253735307	0.06043972478228704	0.07768680029241909	solo
16	1009	1.5	1	0.38526725655485516	6.127354835123534	6.882464782393603	5.372244887853466	0.06633813312463566	0.058162895105352816	0.07451337114391848	solo
16	1009	1.55	1	0.36690030387901224	5.903940128784344	6.623051510304009	5.184828747264678	0.06391932191981144	0.056133824287907044	0.07170481955171584	solo
16	1009	1.6	1	0.3508448475882719	5.704680653895184	6.392323919329641	5.017037388460727	0.061762028613445326	0.05431722221457933	0.06920683501231133	solo
16	1009	1.6500000000000001	1	0.33673360597165386	5.526132109105337	6.18611784919408	4.866146369016594	0.0598289632937118	0.05268359256450292	0.06697433402292068	solo
16	1009	1.7000000000000002	1	0.3242648990378337	5.3654195037581225	6.000967027322793	4.729871980193452	0.05808899972130419	0.051208210643513566	0.06496978879909483	solo
16	1009	1.75	1	0.31319020889281535	5.220135371558655	5.833976901299149	4.606293841818161	0.05651607333429316	0.049870285353494116	0.0631618613150922	solo
16	1009	1.8	1	0.30330412248478833	5.088256717363088	5.682721873795798	4.4937915609303785	0.05508828206812163	0.04865227342384742	0.061524290712395846	solo
16	1009	1.85	1	0.29443622885783044	4.968077342981532	5.545161747286673	4.3909929386763915	0.05378715367730952	0.04753931867067673	0.0600349886839423	solo
16	1009	1.9000000000000001	1	0.28644460185854	4.858152718753019	5.419573821961673	4.296731615544366	0.052597048884627046	0.046518793440671745	0.058675304328582346	solo
16	1009	1.9500000000000002	1	0.2792105594070443	4.7572550481975675	5.304497688738655	4.21001240765648	0.05150467488615953	0.04557992332263107	0.05742942644968798	solo
16	1009	2	1	0.272634445902752	4.664336594760769	5.198690289675197	4.1299828998463415	0.050498688306356475	0.044713479598403535	0.05628389701430942	solo
