event	h	id
model	30.38091948002938	39
v_choice	3.50360111850705	39
d_gene	2.249862131302619	39
j_choice	2.4707663495625365	39
v_3_del	2.946601522416577	39
d_3_del	2.5111253576576447	39
d_5_del	3.087399497173162	39
j_5_del	2.701011443302769	39
vd_ins	1.9563388437954385	39
dj_ins	1.9324047223970608	39
vd_dinucl	3.6244674111130917	39
dj_dinucl	3.3973410828014323	39
model	30.781706628321857	56
v_choice	3.485042852041895	56
d_gene	2.241139127467294	56
j_choice	2.4819701375801317	56
v_3_del	3.0031073863456665	56
d_3_del	2.5025297921060874	56
d_5_del	3.090686167108936	56
j_5_del	2.7591972574118473	56
vd_ins	2.009535820038797	56
dj_ins	1.9555994275316433	56
vd_dinucl	3.728582923008241	56
dj_dinucl	3.5243157376813206	56
model	31.20306026888567	73
v_choice	3.4288156405304946	73
d_gene	2.2458488546238105	73
j_choice	2.4939155875965993	73
v_3_del	2.979860766178082	73
d_3_del	2.473593297239305	73
d_5_del	3.088824753497779	73
j_5_del	2.6894247987504434	73
vd_ins	2.0899074384783702	73
dj_ins	1.953289593575397	73
vd_dinucl	4.269128870448218	73
dj_dinucl	3.4904506679671754	73
model	29.26429372798132	128
v_choice	3.4961548499834274	128
d_gene	1.86701096422042	128
j_choice	2.3894316800082835	128
v_3_del	2.760915190839942	128
d_3_del	1.9772143951226795	128
d_5_del	3.032384385750793	128
j_5_del	2.675415766469764	128
vd_ins	1.94805444137087	128
dj_ins	1.9909594805565725	128
vd_dinucl	3.4693144591890492	128
dj_dinucl	3.6574381144695156	128
