event	h	id
vd_dinucl	2.790850601739842	2-07
dj_dinucl	2.4924340563687775	2-07
model	25.897942512488406	2-08
v_choice	3.477574543190504	2-08
d_gene	1.3770626326122124	2-08
j_choice	2.1882241049730857	2-08
v_3_del	2.500402752113395	2-08
d_3_del	1.5562239892899896	2-08
d_5_del	2.8175767688265205	2-08
j_5_del	2.3845061312650335	2-08
vd_ins	1.8069532635960572	2-08
dj_ins	1.8789851835336298	2-08
vd_dinucl	2.932757599276788	2-08
dj_dinucl	2.9776755438111913	2-08
model	28.78888933701374	2-09
v_choice	3.472664511795495	2-09
d_gene	1.9240549759719965	2-09
j_choice	2.3387122474598043	2-09
v_3_del	2.85802205059764	2-09
d_3_del	1.9773414258041302	2-09
d_5_del	2.905520470106826	2-09
j_5_del	2.6515274051367332	2-09
vd_ins	1.9157421224948963	2-09
dj_ins	1.8768449717857996	2-09
vd_dinucl	3.2988182034486506	2-09
dj_dinucl	3.5696409524117643	2-09
model	27.385543683627866	2-10
v_choice	3.5460618689787964	2-10
d_gene	1.5523784701709478	2-10
j_choice	2.2321395747260597	2-10
v_3_del	2.5854388405672033	2-10
d_3_del	1.786494125144496	2-10
d_5_del	2.5991533413166836	2-10
j_5_del	2.4892840169576935	2-10
vd_ins	1.7768836169416184	2-10
dj_ins	1.8637222164258305	2-10
vd_dinucl	2.704182548338615	2-10
dj_dinucl	4.249805064059924	2-10
model	28.51819498263355	3-01
v_choice	3.3438845458219655	3-01
d_gene	1.8656223059908033	3-01
j_choice	2.342782500472627	3-01
v_3_del	2.704383525220326	3-01
d_3_del	1.8797899508104787	3-01
d_5_del	2.9724058249230687	3-01
j_5_del	2.5918372514005714	3-01
vd_ins	2.1110690042039053	3-01
dj_ins	1.7778361439743289	3-01
vd_dinucl	4.244162344794723	3-01
dj_dinucl	2.68442158502075	3-01
model	29.35209850639958	3-02
v_choice	3.4814644747772414	3-02
d_gene	1.7792426576859248	3-02
j_choice	2.3558797361759827	3-02
v_3_del	2.7249487556336853	3-02
d_3_del	2.0056196019515657	3-02
d_5_del	3.0523117375974906	3-02
j_5_del	2.6205139480128166	3-02
vd_ins	1.9142517525899856	3-02
dj_ins	1.8974472206564983	3-02
vd_dinucl	3.9736163280546934	3-02
dj_dinucl	3.5468022932636987	3-02
model	28.083381059429193	3-03
v_choice	3.498457080081379	3-03
d_gene	1.8046518763384976	3-03
j_choice	2.4080277088486852	3-03
v_3_del	2.761504212443195	3-03
d_3_del	1.9504629813058876	3-03
d_5_del	2.918588348854694	3-03
j_5_del	2.424008149382959	3-03
vd_ins	1.9374751948430615	3-03
dj_ins	1.8104895405643247	3-03
vd_dinucl	3.554072267605564	3-03
dj_dinucl	3.0156436991609468	3-03
model	28.081905948956393	3-04
v_choice	3.4351644460429682	3-04
d_gene	1.824632687218277	3-04
j_choice	2.3891268516052446	3-04
v_3_del	2.6490872952448385	3-04
d_3_del	1.883639326423629	3-04
d_5_del	2.982310172005204	3-04
j_5_del	2.46338368999992	3-04
vd_ins	2.0262432387791014	3-04
dj_ins	1.7800141890727819	3-04
vd_dinucl	4.064505688217232	3-04
dj_dinucl	2.5837983643472007	3-04
model	27.496768543887097	3-05
v_choice	3.4882795515072553	3-05
d_gene	1.5524674184425933	3-05
j_choice	2.3758885442529767	3-05
v_3_del	2.7190569224409473	3-05
d_3_del	1.7631702924233033	3-05
d_5_del	2.8674702413000173	3-05
j_5_del	2.5005206684325723	3-05
vd_ins	1.9792182475977746	3-05
dj_ins	1.722052482135625	3-05
vd_dinucl	3.567983655687132	3-05
dj_dinucl	2.9606605196668996	3-05
model	29.357320707705856	3-06
v_choice	3.3658083058101	3-06
d_gene	1.8414589098444263	3-06
j_choice	2.444065034934997	3-06
v_3_del	2.677673906810367	3-06
d_3_del	1.9608068701571908	3-06
d_5_del	3.0544209377192026	3-06
j_5_del	2.540140727936971	3-06
vd_ins	2.011044003367335	3-06
dj_ins	1.9815582431759986	3-06
vd_dinucl	3.802272696632375	3-06
dj_dinucl	3.6780710713168925	3-06
model	27.747768546703654	3-07
v_choice	3.3832207312421794	3-07
d_gene	1.7459892332908586	3-07
j_choice	2.3350836168522093	3-07
v_3_del	2.809217291684083	3-07
d_3_del	1.954328021705118	3-07
d_5_del	2.9025464043362037	3-07
j_5_del	2.599755136660241	3-07
vd_ins	1.9333084654215087	3-07
dj_ins	1.865039121476356	3-07
vd_dinucl	3.2357928726004133	3-07
dj_dinucl	2.9834876514344817	3-07
model	29.868328842640814	3-08
v_choice	3.302565070581084	3-08
d_gene	1.6571035233307847	3-08
j_choice	2.3469063814888242	3-08
v_3_del	2.6683535113655035	3-08
d_3_del	1.8476094937997976	3-08
d_5_del	2.8765186163547387	3-08
j_5_del	2.421277889010348	3-08
vd_ins	1.9579081010194903	3-08
dj_ins	2.1243402489356162	3-08
vd_dinucl	3.4771951561751173	3-08
dj_dinucl	5.188550850579508	3-08
model	27.33383756883949	3-09
v_choice	3.3095831671305076	3-09
d_gene	1.6749892446170147	3-09
j_choice	2.2772402310777267	3-09
v_3_del	2.6902669432162467	3-09
d_3_del	1.7599163134253506	3-09
d_5_del	2.907006004616875	3-09
j_5_del	2.6776403124721515	3-09
vd_ins	1.9607137284010274	3-09
dj_ins	1.8942225148930991	3-09
vd_dinucl	3.259138720283119	3-09
dj_dinucl	2.9231203887063684	3-09
model	25.111813241910124	3-10
v_choice	3.3813362166430263	3-10
d_gene	1.4048212357607084	3-10
j_choice	2.3396669697551182	3-10
v_3_del	2.5801012080113654	3-10
d_3_del	1.6554285365441295	3-10
d_5_del	2.9423540531037977	3-10
j_5_del	2.353199200905638	3-10
vd_ins	1.774522645938196	3-10
dj_ins	1.683683560419913	3-10
vd_dinucl	2.598734859948436	3-10
dj_dinucl	2.3979647548797978	3-10
model	27.196255927078035	4-01
v_choice	3.469351739040788	4-01
d_gene	1.3367577780763913	4-01
j_choice	2.182434065864393	4-01
v_3_del	2.4867588709692847	4-01
d_3_del	1.3740745766605134	4-01
d_5_del	2.8438274841738598	4-01
j_5_del	2.438703970044492	4-01
vd_ins	1.7577333672856943	4-01
dj_ins	2.054478419255399	4-01
vd_dinucl	3.271041809549816	4-01
dj_dinucl	3.9810938461573993	4-01
model	27.24237872492056	4-02
v_choice	3.4711535306105112	4-02
d_gene	1.6802159671367045	4-02
j_choice	2.363207615305795	4-02
v_3_del	2.6162761887632704	4-02
d_3_del	1.8808270829417946	4-02
d_5_del	2.915859364427008	4-02
j_5_del	2.5934726163652937	4-02
vd_ins	1.9203022135975094	4-02
dj_ins	1.8434749068279404	4-02
vd_dinucl	3.133436027329336	4-02
dj_dinucl	2.824153211615401	4-02
