id	p	v	d	j
2-03	0.0021171508468599996	IGHV1-03*02	NA	IGHJ1-02*21
2-03	0.00235155364969	IGHV1-02*02	NA	IGHJ1-02*21
2-03	0.0	IGHV2-01*02	NA	IGHJ1-02*21
2-03	0.014114319218999999	IGHV1-01*02	NA	IGHJ1-02*21
2-03	0.0	IGHV1-01*01	NA	IGHJ1-03*22
2-03	0.00141143270743	IGHV1-02*01	NA	IGHJ1-03*22
2-03	0.0	IGHV2-01*01	NA	IGHJ1-03*22
2-03	0.0	IGHV1-03*01	NA	IGHJ1-03*22
2-03	0.004234302074300001	IGHV3-01*01	NA	IGHJ1-03*22
2-03	0.0	IGHV2-02*01	NA	IGHJ1-03*22
2-03	0.0059871370696	IGHV4-01*01	NA	IGHJ1-03*22
2-03	0.0049400125	IGHV1-04*01	NA	IGHJ1-03*22
2-03	0.00282286541486	IGHV2-03*01	NA	IGHJ1-03*22
2-03	0.00318715379264	IGHV1-05*01	NA	IGHJ1-03*22
2-03	0.0	IGHV5-01*01	NA	IGHJ1-03*22
2-03	0.0169371687771	IGHV2-04*01	NA	IGHJ1-03*22
2-03	0.0	IGHV6-01*01	NA	IGHJ1-03*22
2-03	0.0007057146789	IGHV1-06*01	NA	IGHJ1-03*22
2-03	0.0	IGHV4-02*01	NA	IGHJ1-03*22
2-03	0.0	IGHV2-05*01	NA	IGHJ1-03*22
2-03	0.0014114311926599998	IGHV1-07*01	NA	IGHJ1-03*22
2-03	0.0	IGHV2-02*02	NA	IGHJ1-03*22
2-03	0.002267611731	IGHV4-01*02	NA	IGHJ1-03*22
2-03	0.0035285825688	IGHV5-01*02	NA	IGHJ1-03*22
2-03	0.0028228587156	IGHV1-03*02	NA	IGHJ1-03*22
2-03	0.0012609708378	IGHV1-02*02	NA	IGHJ1-03*22
2-03	0.0	IGHV2-01*02	NA	IGHJ1-03*22
2-03	0.0063514412844	IGHV1-01*02	NA	IGHJ1-03*22
2-03	0.0	IGHV1-01*01	NA	IGHJ1-04*01
2-03	0.0	IGHV1-02*01	NA	IGHJ1-04*01
2-03	0.0	IGHV2-01*01	NA	IGHJ1-04*01
2-03	0.0	IGHV1-03*01	NA	IGHJ1-04*01
2-03	0.0	IGHV3-01*01	NA	IGHJ1-04*01
2-03	0.0	IGHV2-02*01	NA	IGHJ1-04*01
2-03	0.0	IGHV4-01*01	NA	IGHJ1-04*01
2-03	0.0	IGHV1-04*01	NA	IGHJ1-04*01
2-03	0.0	IGHV2-03*01	NA	IGHJ1-04*01
2-03	0.0	IGHV1-05*01	NA	IGHJ1-04*01
