id	p	v	d	j
39	0.0143837	IGHV1-01*01	NA	NA
39	0.210236	IGHV1-02*01	NA	NA
39	0.0173256	IGHV2-01*01	NA	NA
39	0.0316102	IGHV1-03*01	NA	NA
39	0.044489	IGHV3-01*01	NA	NA
39	0.0252551	IGHV2-02*01	NA	NA
39	0.0	IGHV4-01*01	NA	NA
39	0.0229135	IGHV1-04*01	NA	NA
39	0.0234839	IGHV2-03*01	NA	NA
39	0.0361264	IGHV1-05*01	NA	NA
39	0.0132129	IGHV5-01*01	NA	NA
39	0.0612139	IGHV2-04*01	NA	NA
39	0.000167252	IGHV6-01*01	NA	NA
39	0.0893126	IGHV1-06*01	NA	NA
39	0.0	IGHV4-02*01	NA	NA
39	0.11624	IGHV2-05*01	NA	NA
39	0.0	IGHV1-07*01	NA	NA
39	0.201371	IGHV2-02*02	NA	NA
39	0.0	IGHV4-01*02	NA	NA
39	0.0120421	IGHV5-01*02	NA	NA
39	0.0426493	IGHV1-03*02	NA	NA
39	0.03713	IGHV1-02*02	NA	NA
39	0.0	IGHV2-01*02	NA	NA
39	0.00083626	IGHV1-01*02	NA	NA
39	0.06924538064960457	NA	IGHD1-01*01	NA
39	0.048350747020722666	NA	IGHD1-02*01	NA
39	0.011426459924094664	NA	IGHD1-03*01	NA
39	0.01266294010654245	NA	IGHD1-04*01	NA
39	0.04704809551571208	NA	IGHD1-05*22	NA
39	0.04113207870854849	NA	IGHD1-06*23	NA
39	0.1916626876682111	NA	IGHD1-07*24	NA
39	0.18950476597892313	NA	IGHD1-08*01	NA
39	0.20005458355058717	NA	IGHD1-09*01	NA
39	0.023346810963143495	NA	IGHD1-10*01	NA
39	0.16556403451718768	NA	IGHD2-01*02	NA
39	0.0	NA	NA	IGHJ1-01*01
39	0.019066699275665	NA	NA	IGHJ1-02*21
39	0.00033450340923	NA	NA	IGHJ1-03*22
39	0.08394940777680024	NA	NA	IGHJ1-04*01
39	0.10704118977573998	NA	NA	IGHJ1-05*24
39	0.00035471688746699994	NA	NA	IGHJ1-06*01
39	0.1238339451835	NA	NA	IGHJ1-07*01
39	0.17912670376780004	NA	NA	IGHJ1-08*27
39	0.09182127780614001	NA	NA	IGHJ1-09*28
39	0.11483444893572	NA	NA	IGHJ2-06*02
39	0.00048154249972000003	NA	NA	IGHJ2-05*02
39	0.27915423336290696	NA	NA	IGHJ2-03*02
39	0.0	IGHV1-01*01	NA	IGHJ1-01*01
39	0.0	IGHV1-02*01	NA	IGHJ1-01*01
39	0.0	IGHV2-01*01	NA	IGHJ1-01*01
39	0.00016725222523	IGHV1-03*01	NA	IGHJ1-01*01
39	0.0018397759158999998	IGHV3-01*01	NA	IGHJ1-01*01
39	0.0	IGHV2-02*01	NA	IGHJ1-01*01
39	0.0014864259416999999	IGHV4-01*01	NA	IGHJ1-01*01
39	0.0025087905703	IGHV1-04*01	NA	IGHJ1-01*01
39	0.0008362611261499999	IGHV2-03*01	NA	IGHJ1-01*01
39	0.0020258722265	IGHV1-05*01	NA	IGHJ1-01*01
39	0.0	IGHV5-01*01	NA	IGHJ1-01*01
39	0.005519327747699999	IGHV2-04*01	NA	IGHJ1-01*01
39	0.0	IGHV6-01*01	NA	IGHJ1-01*01
39	0.0043485424476	IGHV1-06*01	NA	IGHJ1-01*01
39	0.0	IGHV4-02*01	NA	IGHJ1-01*01
39	0.00153713210456	IGHV2-05*01	NA	IGHJ1-01*01
39	0.02609133878	IGHV1-07*01	NA	IGHJ1-01*01
39	0.0	IGHV2-02*02	NA	IGHJ1-01*01
39	0.0161600424232	IGHV4-01*02	NA	IGHJ1-01*01
39	0.039471388528	IGHV5-01*02	NA	IGHJ1-01*01
39	0.019401208788	IGHV1-03*02	NA	IGHJ1-01*01
39	0.024649960764	IGHV1-02*02	NA	IGHJ1-01*01
39	0.0	IGHV2-01*02	NA	IGHJ1-01*01
39	0.078576545944	IGHV1-01*02	NA	IGHJ1-01*01
39	0.0	IGHV1-01*01	NA	IGHJ1-02*21
39	0.00050767646376	IGHV1-02*01	NA	IGHJ1-02*21
39	0.0	IGHV2-01*01	NA	IGHJ1-02*21
39	0.0	IGHV1-03*01	NA	IGHJ1-02*21
39	0.00157537869168	IGHV3-01*01	NA	IGHJ1-02*21
39	0.0	IGHV2-02*01	NA	IGHJ1-02*21
39	0.00135602793288	IGHV4-01*01	NA	IGHJ1-02*21
39	0.0045407972016	IGHV1-04*01	NA	IGHJ1-02*21
39	0.002392838616	IGHV2-03*01	NA	IGHJ1-02*21
39	0.0015619461539999999	IGHV1-05*01	NA	IGHJ1-02*21
39	0.0	IGHV5-01*01	NA	IGHJ1-02*21
39	0.005390947068000001	IGHV2-04*01	NA	IGHJ1-02*21
39	0.0	IGHV6-01*01	NA	IGHJ1-02*21
39	0.0010035132142999998	IGHV1-06*01	NA	IGHJ1-02*21
39	0.0	IGHV4-02*01	NA	IGHJ1-02*21
39	0.0	IGHV2-05*01	NA	IGHJ1-02*21
39	0.0025087814552399996	IGHV1-07*01	NA	IGHJ1-02*21
39	0.0	IGHV2-02*02	NA	IGHJ1-02*21
39	0.0035662311537999996	IGHV4-01*02	NA	IGHJ1-02*21
39	0.005686580149399999	IGHV5-01*02	NA	IGHJ1-02*21
39	0.00267603418446	IGHV1-03*02	NA	IGHJ1-02*21
39	0.0029561384887	IGHV1-02*02	NA	IGHJ1-02*21
39	0.0	IGHV2-01*02	NA	IGHJ1-02*21
39	0.013212905548999999	IGHV1-01*02	NA	IGHJ1-02*21
39	0.0	IGHV1-01*01	NA	IGHJ1-03*22
39	0.0015052675194	IGHV1-02*01	NA	IGHJ1-03*22
39	0.0	IGHV2-01*01	NA	IGHJ1-03*22
39	0.0	IGHV1-03*01	NA	IGHJ1-03*22
