id	p	v	d	j
56	0.0142827	IGHV1-01*01	NA	NA
56	0.207205	IGHV1-02*01	NA	NA
56	0.0187052	IGHV2-01*01	NA	NA
56	0.0373055	IGHV1-03*01	NA	NA
56	0.037945	IGHV3-01*01	NA	NA
56	0.0223833	IGHV2-02*01	NA	NA
56	0.0	IGHV4-01*01	NA	NA
56	0.0289917	IGHV1-04*01	NA	NA
56	0.0267009	IGHV2-03*01	NA	NA
56	0.0289917	IGHV1-05*01	NA	NA
56	0.013232	IGHV5-01*01	NA	NA
56	0.055425	IGHV2-04*01	NA	NA
56	0.0	IGHV6-01*01	NA	NA
56	0.112556	IGHV1-06*01	NA	NA
56	0.0	IGHV4-02*01	NA	NA
56	0.110211	IGHV2-05*01	NA	NA
56	0.0	IGHV1-07*01	NA	NA
56	0.204008	IGHV2-02*02	NA	NA
56	0.0	IGHV4-01*02	NA	NA
56	0.0102171	IGHV5-01*02	NA	NA
56	0.0390109	IGHV1-03*02	NA	NA
56	0.0313366	IGHV1-02*02	NA	NA
56	0.0	IGHV2-01*02	NA	NA
56	0.00149222	IGHV1-01*02	NA	NA
56	0.07574311597948652	NA	IGHD1-01*01	NA
56	0.05705486473442615	NA	IGHD1-02*01	NA
56	0.013982141195622147	NA	IGHD1-03*01	NA
56	0.013044603752026073	NA	IGHD1-04*01	NA
56	0.044633320229334736	NA	IGHD1-05*22	NA
56	0.04590975266759135	NA	IGHD1-06*23	NA
56	0.1838606282724476	NA	IGHD1-07*24	NA
56	0.19193065459547273	NA	IGHD1-08*01	NA
56	0.1870937139271714	NA	IGHD1-09*01	NA
56	0.026223343490256693	NA	IGHD1-10*01	NA
56	0.16052352815167464	NA	IGHD2-01*02	NA
56	0.000213174445595	NA	NA	IGHJ1-01*01
56	0.023875507848165004	NA	NA	IGHJ1-02*21
56	0.0	NA	NA	IGHJ1-03*22
56	0.08139088701977623	NA	NA	IGHJ1-04*01
56	0.11745887112837002	NA	NA	IGHJ1-05*24
56	0.001201025385741	NA	NA	IGHJ1-06*01
56	0.11827544202474	NA	NA	IGHJ1-07*01
56	0.17394993682458001	NA	NA	IGHJ1-08*27
56	0.09912599504399	NA	NA	IGHJ1-09*28
56	0.10918132650801	NA	NA	IGHJ2-06*02
56	0.000504369664896	NA	NA	IGHJ2-05*02
56	0.27482316232334003	NA	NA	IGHJ2-03*02
56	0.0	IGHV1-01*01	NA	IGHJ1-01*01
56	0.0	IGHV1-02*01	NA	IGHJ1-01*01
56	0.0	IGHV2-01*01	NA	IGHJ1-01*01
56	0.00042635002116	IGHV1-03*01	NA	IGHJ1-01*01
56	0.0014922279306	IGHV3-01*01	NA	IGHJ1-01*01
56	0.0	IGHV2-02*01	NA	IGHJ1-01*01
56	0.0019940791604999997	IGHV4-01*01	NA	IGHJ1-01*01
56	0.0019185665256000002	IGHV1-04*01	NA	IGHJ1-01*01
56	0.0019185665256000002	IGHV2-03*01	NA	IGHJ1-01*01
56	0.00120353457204	IGHV1-05*01	NA	IGHJ1-01*01
56	0.0	IGHV5-01*01	NA	IGHJ1-01*01
56	0.005329360981800001	IGHV2-04*01	NA	IGHJ1-01*01
56	0.0	IGHV6-01*01	NA	IGHJ1-01*01
56	0.005542526545	IGHV1-06*01	NA	IGHJ1-01*01
56	0.0	IGHV4-02*01	NA	IGHJ1-01*01
56	0.00043006433774999997	IGHV2-05*01	NA	IGHJ1-01*01
56	0.02685998415	IGHV1-07*01	NA	IGHJ1-01*01
56	0.0	IGHV2-02*02	NA	IGHJ1-01*01
56	0.0173162668935	IGHV4-01*02	NA	IGHJ1-01*01
56	0.0392239065	IGHV5-01*02	NA	IGHJ1-01*01
56	0.020891029715	IGHV1-03*02	NA	IGHJ1-01*01
56	0.02297364717	IGHV1-02*02	NA	IGHJ1-01*01
56	0.0	IGHV2-01*02	NA	IGHJ1-01*01
56	0.07396762649000001	IGHV1-01*02	NA	IGHJ1-01*01
56	0.0	IGHV1-01*01	NA	IGHJ1-02*21
56	0.0006751286541200001	IGHV1-02*01	NA	IGHJ1-02*21
56	0.0	IGHV2-01*01	NA	IGHJ1-02*21
56	0.00015627932727200003	IGHV1-03*01	NA	IGHJ1-02*21
56	0.0025845161892	IGHV3-01*01	NA	IGHJ1-02*21
56	0.0	IGHV2-02*01	NA	IGHJ1-02*21
56	0.0019719395944000004	IGHV4-01*01	NA	IGHJ1-02*21
56	0.0032998030372000005	IGHV1-04*01	NA	IGHJ1-02*21
56	0.0009860595821600002	IGHV2-03*01	NA	IGHJ1-02*21
56	0.002562518874	IGHV1-05*01	NA	IGHJ1-02*21
56	0.0	IGHV5-01*01	NA	IGHJ1-02*21
56	0.0064689689576000005	IGHV2-04*01	NA	IGHJ1-02*21
56	0.000213174445595	IGHV6-01*01	NA	IGHJ1-02*21
56	0.0010658703627	IGHV1-06*01	NA	IGHJ1-02*21
56	0.0	IGHV4-02*01	NA	IGHJ1-02*21
56	2.8225639744e-08	IGHV2-05*01	NA	IGHJ1-02*21
56	0.0055425154405	IGHV1-07*01	NA	IGHJ1-02*21
56	0.000213174445595	IGHV2-02*02	NA	IGHJ1-02*21
56	0.00312689105175	IGHV4-01*02	NA	IGHJ1-02*21
56	0.0081006281865	IGHV5-01*02	NA	IGHJ1-02*21
56	0.0038371318135	IGHV1-03*02	NA	IGHJ1-02*21
56	0.0032683348549999995	IGHV1-02*02	NA	IGHJ1-02*21
56	0.0	IGHV2-01*02	NA	IGHJ1-02*21
56	0.011937722694499999	IGHV1-01*02	NA	IGHJ1-02*21
56	0.0	IGHV1-01*01	NA	IGHJ1-03*22
56	0.0010658712555	IGHV1-02*01	NA	IGHJ1-03*22
56	0.0	IGHV2-01*01	NA	IGHJ1-03*22
56	0.0002174218144	IGHV1-03*01	NA	IGHJ1-03*22
56	0.00447667521	IGHV3-01*01	NA	IGHJ1-03*22
56	0.0	IGHV2-02*01	NA	IGHJ1-03*22
56	0.004550630015	IGHV4-01*01	NA	IGHJ1-03*22
56	0.005329337304999999	IGHV1-04*01	NA	IGHJ1-03*22
56	0.0038371501800000003	IGHV2-03*01	NA	IGHJ1-03*22
56	0.0031236551669999997	IGHV1-05*01	NA	IGHJ1-03*22
56	0.0	IGHV5-01*01	NA	IGHJ1-03*22
56	0.01534427499	IGHV2-04*01	NA	IGHJ1-03*22
56	0.0	IGHV6-01*01	NA	IGHJ1-03*22
56	0.000213174296373	IGHV1-06*01	NA	IGHJ1-03*22
56	0.0	IGHV4-02*01	NA	IGHJ1-03*22
56	7.780614146399999e-08	IGHV2-05*01	NA	IGHJ1-03*22
56	0.0010658703627	IGHV1-07*01	NA	IGHJ1-03*22
56	0.0	IGHV2-02*02	NA	IGHJ1-03*22
56	0.00158853832434	IGHV4-01*02	NA	IGHJ1-03*22
56	0.0034107896372999997	IGHV5-01*02	NA	IGHJ1-03*22
56	0.0034107896372999997	IGHV1-03*02	NA	IGHJ1-03*22
